videoID,textDisplay,textOriginal,authorDisplayName,authorChannelId,publishedAt,preprocessed_text,category,sub-category,comments
rFBeoQFYA08,BJP,BJP,Makan singh deol,UCjPeJ1Mh26mLt6O3aUFEfEw,2022-09-12T18:51:08Z,bjp ,NEUTRAL,,
vzcOJZSsVs0,"<b>Wish a great grand success to &quot;Bharath Jodo Yatra&quot; Rahulji.  *Jai Kisan Jai Jawan Jai Samvidhan 🙏 Bring back Congress to restore democracy secularism journalism and Samvidhan and thus save India from goons, gundas, hate mongers and samskari rapists 🇮🇳 👏</b>","*Wish a great grand success to ""Bharath Jodo Yatra"" Rahulji.  *Jai Kisan Jai Jawan Jai Samvidhan 🙏 Bring back Congress to restore democracy secularism journalism and Samvidhan and thus save India from goons, gundas, hate mongers and samskari rapists 🇮🇳 👏*",Awesome,UC6y0EGtuZG0Fhw0IBbseLRQ,2022-09-11T05:51:48Z,wish great grand success to bharath jodo yatra rahulji jai kisan jai jawan jai samvidhan bring back congress to restore democracy secularism journalism and samvidhan and thus save india from goon gundas hate monger and samskari rapist ,POSITIVE,,
vzcOJZSsVs0,"Great   job  done  by  Rahul.  We ,  the  commoners  of  this   great  country  , support  you  in  your  future  endeavours","Great   job  done  by  Rahul.  We ,  the  commoners  of  this   great  country  , support  you  in  your  future  endeavours",john edward,UCwqdlCVyZcDsHqmlC8Xqg-g,2022-09-11T05:41:25Z,great job done by rahul we the commoner of this great country support you in your future endeavour ,POSITIVE,,
vzcOJZSsVs0,"We don&#39;t see by our own, how freedom fighters got independence.<br>Now we again feel the same feeling from this campaign. <br>Great job, Rahul ji for your correct decision at correct time. <br><br>We welcome you, it&#39;s changing common man mind set","We don't see by our own, how freedom fighters got independence.
Now we again feel the same feeling from this campaign. 
Great job, Rahul ji for your correct decision at correct time. 

We welcome you, it's changing common man mind set",Karimullah Abdul,UCgBOWKrFbnihYJ1fDV4n3mg,2022-09-11T04:24:36Z,we don see by our own how freedom fighter got independence now we again feel the same feeling from this campaign great job rahul ji for your correct decision at correct time we welcome you it changing common man mind set ,POSITIVE,,
vzcOJZSsVs0,"Let him do  his yathra,,, its for nation","Let him do  his yathra,,, its for nation",P Durgaiah,UCp2I2zoA8Uj2Xo9Ma8nGW1g,2022-09-11T03:50:54Z,let him do his yathra it for nation ,POSITIVE,,
vzcOJZSsVs0,Rahul is hope,Rahul is hope,Reji cv,UCmXS9NQwPqYeiBwV-I4KyHg,2022-09-11T03:44:20Z,rahul is hope ,POSITIVE,,
vzcOJZSsVs0,This could be a game changer for Congress as well as for the BJP.,This could be a game changer for Congress as well as for the BJP.,Rahul Bhushan,UCj4zZq6MrdX8w7dAZftSSlw,2022-09-11T06:30:03Z,this could be game changer for congress a well a for the bjp ,POSITIVE,,
vzcOJZSsVs0,"Nowadays politics is centered around what one&#39;s eating, wearing etc.and not the matters pertaining to development of the nation etc. Great shame!","Nowadays politics is centered around what one's eating, wearing etc.and not the matters pertaining to development of the nation etc. Great shame!",Samuel Joseph,UCpMT4kGmGgVSy8v0K_6Ireg,2022-09-11T05:04:09Z,nowadays politics is centered around what one eating wearing etc and not the matter pertaining to development of the nation etc great shame ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"Long live Rahul Gandhi. May God protect you from harm, bless you with knowledge and guide you the correct path to rule India wisely. People can&#39;t forget sacrifices made by your family.","Long live Rahul Gandhi. May God protect you from harm, bless you with knowledge and guide you the correct path to rule India wisely. People can't forget sacrifices made by your family.",ahamedkila,UCbeKlqQXPPKjL7NJD7MMpxw,2022-09-11T14:40:16Z,long live rahul gandhi may god protect you from harm bless you with knowledge and guide you the correct path to rule india wisely people can forget sacrifice made by your family ,POSITIVE,,
vzcOJZSsVs0,Rahul ji will defeat the fascists. Jai hind...,Rahul ji will defeat the fascists. Jai hind...,Vetrivel R,UC4TGutBEC25bH9Wq0gce6hg,2022-09-11T03:23:59Z,rahul ji will defeat the fascist jai hind ,POSITIVE,,
vzcOJZSsVs0,India is union of states where every states have there own language eating habits.<br>What&#39;s the problem here nothing wrong is been said.,"India is union of states where every states have there own language eating habits.
What's the problem here nothing wrong is been said.",HYPER THEORYTECH,UC3Ko-OudRPFIMvvQMaAopYA,2022-09-11T04:57:26Z,india is union of state where every state have there own language eating habit what the problem here nothing wrong is been said ,NEUTRAL,,
vzcOJZSsVs0,I respect everyone who were involved in this seriously the best price that I&#39;ve ever seen on YouTube. 🥰😊😊🥰,I respect everyone who were involved in this seriously the best price that I've ever seen on YouTube. 🥰😊😊🥰,GAMING JISIKA CZ,UCNUj_-rAmZl9jOxZkM0t-oQ,2022-09-11T03:11:24Z,respect everyone who were involved in this seriously the best price that ve ever seen on youtube ,POSITIVE,,
vzcOJZSsVs0,"Rahul ji, We are fed up with achhe din. We are anxiously awaiting to see the good olden days. Looking at over helming response, we Hope you will succeed. We are with you. God bless you 💐🙏","Rahul ji, We are fed up with achhe din. We are anxiously awaiting to see the good olden days. Looking at over helming response, we Hope you will succeed. We are with you. God bless you 💐🙏",sanjay Patil,UCcF6tTQbmjTOH8TM-V78OSQ,2022-09-11T13:45:12Z,rahul ji we are fed up with achhe din we are anxiously awaiting to see the good olden day looking at over helming response we hope you will succeed we are with you god bless you ,POSITIVE,,
vzcOJZSsVs0,Pro BJB channel.. Thanks for entertaining the audience😂,Pro BJB channel.. Thanks for entertaining the audience😂,Vitsu Janger Yim,UCMshnQsgVspelpYVmsnzeug,2022-09-11T03:18:28Z,pro bjb channel thanks for entertaining the audience ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"everyday , by watching the Yatra ,People are  easily understanding the simplicity talent  and casual behaviour of Shri Rahul Gandhi ji, the next prime Minister of India..G. Kavi Pandian Tirunelveli Tamil Nadu..","everyday , by watching the Yatra ,People are  easily understanding the simplicity talent  and casual behaviour of Shri Rahul Gandhi ji, the next prime Minister of India..G. Kavi Pandian Tirunelveli Tamil Nadu..",gk kavipandian,UCmiGFrnGLN2MGk2j1bP2pnQ,2022-09-12T13:18:19Z,everyday by watching the yatra people are easily understanding the simplicity talent and casual behaviour of shri rahul gandhi ji the next prime minister of india kavi pandian tirunelveli tamil nadu ,POSITIVE,,
vzcOJZSsVs0,"Being a home minister let him  give us fear free ,secured atmosphere  to live peacefully, instead  of  pointing out  petty ,irrelevant topics","Being a home minister let him  give us fear free ,secured atmosphere  to live peacefully, instead  of  pointing out  petty ,irrelevant topics",Lakshmikantha S,UC07hx-MEbrwRLfmTKvcFqlA,2022-09-11T05:39:53Z,being home minister let him give u fear free secured atmosphere to live peacefully instead of pointing out petty irrelevant topic ,NEUTRAL,,
vzcOJZSsVs0,Genuinely i think this yatra has made an impact .. that is why these main leaders of bjp worrying and commenting on it in big stages .. wearing clothes is there own choices .. he is not using public money to buy those,Genuinely i think this yatra has made an impact .. that is why these main leaders of bjp worrying and commenting on it in big stages .. wearing clothes is there own choices .. he is not using public money to buy those,Karthik R S,UCFsgWn20RSICjNTHCbdAE2w,2022-09-11T04:36:22Z,genuinely think this yatra ha made an impact that is why these main leader of bjp worrying and commenting on it in big stage wearing clothes is there own choice he is not using public money to buy those ,POSITIVE,,
vzcOJZSsVs0,This will be the biggest Bharat jodo yatra <br>Full support to Rahul Gandhi,"This will be the biggest Bharat jodo yatra 
Full support to Rahul Gandhi",záG entertainments,UC3MelyG8ENVj5XziT6ntV8Q,2022-09-11T07:33:02Z,this will be the biggest bharat jodo yatra full support to rahul gandhi ,POSITIVE,,
vzcOJZSsVs0,BJP in big fear after RAHUL yatra,BJP in big fear after RAHUL yatra,Arun.,UCH7p1TQuNc45cA82zfN3eKg,2022-09-11T04:51:25Z,bjp in big fear after rahul yatra ,NEUTRAL,,
vzcOJZSsVs0,"How BJP is saying about his T-shirts , a man who is wearing 10 lakhs rupees dress with his name printed and some lakhs  rupees specs","How BJP is saying about his T-shirts , a man who is wearing 10 lakhs rupees dress with his name printed and some lakhs  rupees specs",mohan kumar,UCbcdSlG-7XBreYraGIX5Gmg,2022-09-11T04:28:49Z,how bjp is saying about his shirt man who is wearing 10 lakh rupee dress with his name printed and some lakh rupee spec ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Great movement God bless all🙏🙏🙏🙏🙏🙏,Great movement God bless all🙏🙏🙏🙏🙏🙏,Semradangla Longchar,UCq97iZYBdZ76AtgOkbTkygA,2022-09-14T11:16:52Z,great movement god bless all ,POSITIVE,,
vzcOJZSsVs0,"Journalist Mausami, energetic and commendable job 🌹👏","Journalist Mausami, energetic and commendable job 🌹👏",sanjay Patil,UCcF6tTQbmjTOH8TM-V78OSQ,2022-09-11T13:49:14Z,journalist mausami energetic and commendable job ,POSITIVE,,
vzcOJZSsVs0,"It’s clearly visible in their faces that their intestinal contractions raised !! By this kind of speech bjp raising Rahul’s image by keep on talking about Rahul In name of mocking him !! But the reality is he never speaking abtBJP’s  political play rather is taking about unemployment,social justice and so on ….let this Yatra bring him a great success ..everyone needs a man who truely protect our constitution and peoples right !! JAIHIND ♥️","It’s clearly visible in their faces that their intestinal contractions raised !! By this kind of speech bjp raising Rahul’s image by keep on talking about Rahul In name of mocking him !! But the reality is he never speaking abtBJP’s  political play rather is taking about unemployment,social justice and so on ….let this Yatra bring him a great success ..everyone needs a man who truely protect our constitution and peoples right !! JAIHIND ♥️",DR MANI KANDAN,UCMaxkSO42VikwSQh2hC25fA,2022-09-11T04:21:36Z,it clearly visible in their face that their intestinal contraction raised by this kind of speech bjp raising rahul image by keep on talking about rahul in name of mocking him but the reality is he never speaking abtbjp political play rather is taking about unemployment social justice and so on let this yatra bring him great success everyone need man who truely protect our constitution and people right jaihind ,POSITIVE,,
vzcOJZSsVs0,Somebody should find out which brand of baniyan and underwear Modi and Shah wearing as no congressman has ever questioned this type of personal attaire of these leaders. BJP leaders including 12th pass actress mantri who is also a Loud speaker questions Rahul about his personal things.  BJP has rattled seeing the response from ordinary people following the Yatra as also welcome arches and crowd gathered either side of roads to greet the Yatris. This is giving BJP scycophants loose motions every day hence they are busy finding out new &quot;fault&quot; on Rahul as he is ths prime target of BJP who has only 32% mandate of people.,"Somebody should find out which brand of baniyan and underwear Modi and Shah wearing as no congressman has ever questioned this type of personal attaire of these leaders. BJP leaders including 12th pass actress mantri who is also a Loud speaker questions Rahul about his personal things.  BJP has rattled seeing the response from ordinary people following the Yatra as also welcome arches and crowd gathered either side of roads to greet the Yatris. This is giving BJP scycophants loose motions every day hence they are busy finding out new ""fault"" on Rahul as he is ths prime target of BJP who has only 32% mandate of people.",Rajan Nair,UCxqIlLoCurfK4veW-vWI2AA,2022-09-11T05:50:02Z,somebody should find out which brand of baniyan and underwear modi and shah wearing a no congressman ha ever questioned this type of personal attaire of these leader bjp leader including 12th pas actress mantri who is also loud speaker question rahul about his personal thing bjp ha rattled seeing the response from ordinary people following the yatra a also welcome arch and crowd gathered either side of road to greet the yatris this is giving bjp scycophants loose motion every day hence they are busy finding out new fault on rahul a he is th prime target of bjp who ha only 32 mandate of people ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Smiriti Irani ji <br>We people are asking for employment you are talking about sardar Patel statue. Come to senses,"Smiriti Irani ji 
We people are asking for employment you are talking about sardar Patel statue. Come to senses",anbarasan paramasivam,UCJ6df-gsm6J3ACP_Kywy7Dw,2022-09-11T04:42:16Z,smiriti irani ji we people are asking for employment you are talking about sardar patel statue come to sens ,NEUTRAL,,
vzcOJZSsVs0,RAHUL GANDHI WHEE EVER YOU GO<br>ASK LOCAL WOMEN <br>WHAT WAS THE PRICE OF GAS CYLINDER<br><br>MIDDLE CLASS /LOWER MIDDLE CLASS PEOPLE <br>ASK <br>WHEN CONGRESS WAS IN POWER <br>WHAT WAS THE PETROL /DIESEL PRICE <br>&amp;<br>ALSO TELL THEM WHO IS BEHIND THIS BRUTAL LOOT,"RAHUL GANDHI WHEE EVER YOU GO
ASK LOCAL WOMEN 
WHAT WAS THE PRICE OF GAS CYLINDER

MIDDLE CLASS /LOWER MIDDLE CLASS PEOPLE 
ASK 
WHEN CONGRESS WAS IN POWER 
WHAT WAS THE PETROL /DIESEL PRICE 
&
ALSO TELL THEM WHO IS BEHIND THIS BRUTAL LOOT",One Plus,UCMQpLvqK4qVDdADweqaHiNQ,2022-09-11T12:24:44Z,rahul gandhi whee ever you go ask local woman what wa the price of gas cylinder middle class lower middle class people ask when congress wa in power what wa the petrol diesel price also tell them who is behind this brutal loot ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"The trend of politicians <br>Now a days is centered <br>Ones eating , dressing ,<br>and criticising ones customs &amp; rights , but not<br>developing economy &amp; unemployment crisis .<br>Shame .","The trend of politicians 
Now a days is centered 
Ones eating , dressing ,
and criticising ones customs & rights , but not
developing economy & unemployment crisis .
Shame .",KANAGASABAPATHI C,UC-9zx_pqrjngfpVXQQ_mJNA,2022-09-11T16:20:00Z,the trend of politician now day is centered one eating dressing and criticising one custom right but not developing economy unemployment crisis shame ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Rahul Gandhi is definitely the future of India!  This clip reminded me of our freedom fighters who fought for our independence.  Narendra Modi has not even given us a press conference in the past 8 years or even done anything close to what Rahul Gandhi has done today! RG 😍🔥🇮🇳😍,Rahul Gandhi is definitely the future of India!  This clip reminded me of our freedom fighters who fought for our independence.  Narendra Modi has not even given us a press conference in the past 8 years or even done anything close to what Rahul Gandhi has done today! RG 😍🔥🇮🇳😍,ANSAR. KP Ansar,UC-ag7lYjiOOJpvlbhPwMANg,2022-09-12T12:48:14Z,rahul gandhi is definitely the future of india this clip reminded me of our freedom fighter who fought for our independence narendra modi ha not even given u press conference in the past year or even done anything close to what rahul gandhi ha done today rg ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,SMITHI ..pl find out the cylinder ..mostly required in 2025,SMITHI ..pl find out the cylinder ..mostly required in 2025,Arivazhagan Subramaniam,UCOXjgWNY4qeoduLG1dxJcpg,2022-09-11T04:10:28Z,smithi pl find out the cylinder mostly required in 2025 ,NEUTRAL,,
vzcOJZSsVs0,"As usual BJP identify persons by their clothes, not by the character or machine they are carrying.","As usual BJP identify persons by their clothes, not by the character or machine they are carrying.",Saleem Hashmi,UCzhnuNykeOA3pBIWinUPGRw,2022-09-11T05:47:43Z,a usual bjp identify person by their clothes not by the character or machine they are carrying ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Rahul Gandhi&#39;s Bharat Jodo Yatra  should be a great success.,Rahul Gandhi's Bharat Jodo Yatra  should be a great success.,Victor Daniel,UC-3VTHG9fqKXH2EMq8mgxrQ,2022-09-12T11:50:44Z,rahul gandhi bharat jodo yatra should be great success ,POSITIVE,,
vzcOJZSsVs0,Hindu Muslim sabka Ho Samman,Hindu Muslim sabka Ho Samman,allahabadi टशन,UC68Hhi8SmCVENXsKVL1HgJQ,2022-09-11T03:19:42Z,hindu muslim sabka ho samman ,POSITIVE,,
vzcOJZSsVs0,I can see the bjp is rattled after a long long time. But still it won’t be enough to defeat them. At least now no one can complain that there is no opposition,I can see the bjp is rattled after a long long time. But still it won’t be enough to defeat them. At least now no one can complain that there is no opposition,Shahaan S2,UCAbagIoycJCVXXwz3s1xWhw,2022-09-11T07:04:01Z,can see the bjp is rattled after long long time but still it won be enough to defeat them at least now no one can complain that there is no opposition ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Cannot unite India with foreign t-shirt 👕🙄😳<br>Wow.. I am really amazed Amit shah🤔🤔🤔,"Cannot unite India with foreign t-shirt 👕🙄😳
Wow.. I am really amazed Amit shah🤔🤔🤔",Jithin Poliyedath Mohanan,UCoBEIkoQ3Sn0aou-mT1Ztxw,2022-09-11T09:09:10Z,cannot unite india with foreign shirt wow am really amazed amit shah ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"Iss, I also wore costly shoes and dresses but I was not lucky enough to be commented by such leaders. Very sad 😭","Iss, I also wore costly shoes and dresses but I was not lucky enough to be commented by such leaders. Very sad 😭",Daily Stock Earner,UCN72tjZ26QhiUuFKa9HRq6Q,2022-09-11T06:04:37Z,i also wore costly shoe and dress but wa not lucky enough to be commented by such leader very sad ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Jai congress and all the best Rahul ji,Jai congress and all the best Rahul ji,Babu Pilli,UCc-cybpgd6D40Qpc5tG5fsg,2022-09-11T04:34:10Z,jai congress and all the best rahul ji ,POSITIVE,,
vzcOJZSsVs0,"BJP says that Congress was in power for the last 70 years. If this is so, Rahul Gandhi can afford a T-shirt worth 40 thousand rupees as well. You don&#39;t worry Mr. Home Minister.","BJP says that Congress was in power for the last 70 years. If this is so, Rahul Gandhi can afford a T-shirt worth 40 thousand rupees as well. You don't worry Mr. Home Minister.",Muneer M,UCMESDni9otvoAUiuqxG4gpQ,2022-09-13T12:00:09Z,bjp say that congress wa in power for the last 70 year if this is so rahul gandhi can afford shirt worth 40 thousand rupee a well you don worry mr home minister ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Beautiful country variety of culture.,Beautiful country variety of culture.,Benjamin Salem,UCk8Ps-zvNknT8DqdZxTH3NA,2022-09-11T08:31:59Z,beautiful country variety of culture ,POSITIVE,,
vzcOJZSsVs0,The critics and their leaders can not walk or work or deliver only they know to speak.,The critics and their leaders can not walk or work or deliver only they know to speak.,Bidush Kumar,UCU_mmRBL99uZGSIc88c_m4g,2022-09-11T05:01:41Z,the critic and their leader can not walk or work or deliver only they know to speak ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Title is 5th day of Bharath Jodo yathra and showing the BJP speaches shameless BJPs slave your chanal,Title is 5th day of Bharath Jodo yathra and showing the BJP speaches shameless BJPs slave your chanal,Pugal RK,UCtD18OjWhNGSYVojTsTF6EQ,2022-09-11T03:51:10Z,title is 5th day of bharath jodo yathra and showing the bjp speaches shameless bjps slave your chanal ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Very first attempt to meet church during Yatra and listen to adverse remark about …..<br>Is it Bharat Jodo ?,"Very first attempt to meet church during Yatra and listen to adverse remark about …..
Is it Bharat Jodo ?",Ajit Dhapre,UCYpvq_nNLfFKCkeMHsqosCA,2022-09-11T15:33:23Z,very first attempt to meet church during yatra and listen to adverse remark about is it bharat jodo ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,JUSTICE LOYA...R.I.P,JUSTICE LOYA...R.I.P,Arivazhagan Subramaniam,UCOXjgWNY4qeoduLG1dxJcpg,2022-09-11T04:08:23Z,justice loya ,NEUTRAL,,
vzcOJZSsVs0,RAHUL GANDHI JI NEXT INDIAN PM 2024 IAM FROM TAMIL NADU,RAHUL GANDHI JI NEXT INDIAN PM 2024 IAM FROM TAMIL NADU,NOOR-UL-ISLAM..,UCzEssztI5WG_usKs50nrEeQ,2022-09-11T19:22:33Z,rahul gandhi ji next indian pm 2024 iam from tamil nadu ,POSITIVE,,
vzcOJZSsVs0,sir amit ji very funny your voice and bjp 😂😂😁😀,sir amit ji very funny your voice and bjp 😂😂😁😀,Irfan Harry,UCbswAkfmCeKPVAu3jCTuYaw,2022-09-11T05:57:05Z,sir amit ji very funny your voice and bjp ,NEUTRAL,,
vzcOJZSsVs0,"Italian Mummy,  Pappu and Pappi will be contesting from Kerala in 2004. 😜🤣","Italian Mummy,  Pappu and Pappi will be contesting from Kerala in 2004. 😜🤣",Blandings Castle,UCbAME5m9fwPCiBLEReA5bjQ,2022-09-13T12:04:24Z,italian mummy pappu and pappus will be contesting from kerala in 2004 ,NEUTRAL,,
vzcOJZSsVs0,India today doesn’t have the drone camera to show full crowd or your boss BJP told not to show,India today doesn’t have the drone camera to show full crowd or your boss BJP told not to show,Pugal RK,UCtD18OjWhNGSYVojTsTF6EQ,2022-09-11T03:49:06Z,india today doesn have the drone camera to show full crowd or your bos bjp told not to show ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,BJP scared of Rahul..😂,BJP scared of Rahul..😂,BIA,UCHlPYpt71INaCS2xtl1Fn7g,2022-09-11T04:59:48Z,bjp scared of rahul ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Sily souel is in frustration zone 🤣,Sily souel is in frustration zone 🤣,M2 SPORTS,UCPxjtk6ukmX9Dxkc5UsPM7g,2022-09-11T08:35:09Z,sily souel is in frustration zone ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"pitty issues taken to divert public attn. let&#39;s discuss about unemployment, price raise, and let him try his best to unite India","pitty issues taken to divert public attn. let's discuss about unemployment, price raise, and let him try his best to unite India",Maheen Kannu,UCwJoAdop19Gv2bPXH4fI07A,2022-09-11T04:37:03Z,pitty issue taken to divert public attn let discus about unemployment price raise and let him try his best to unite india ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"Pm modji is doing  world tour by spending crores of  Rupees which is  tax  payers money of indians, what benefit does INdia got ?  The end result is Indian Rupee sliding against Dollar which is now Rs 81,  and headed to Rs 100,  India as been waiting to become another Sree Lankha. Also unemployment and inflation on the rise. Moreover he is wearing a spex Made in ITALY which cost Rs 1.5 lakhs.","Pm modji is doing  world tour by spending crores of  Rupees which is  tax  payers money of indians, what benefit does INdia got ?  The end result is Indian Rupee sliding against Dollar which is now Rs 81,  and headed to Rs 100,  India as been waiting to become another Sree Lankha. Also unemployment and inflation on the rise. Moreover he is wearing a spex Made in ITALY which cost Rs 1.5 lakhs.",stephen thomas,UC32XVjJ9cJDs6q4nceuXmpA,2022-09-11T05:19:05Z,pm modji is doing world tour by spending crore of rupee which is tax payer money of indian what benefit doe india got the end result is indian rupee sliding against dollar which is now r 81 and headed to r 100 india a been waiting to become another sree lankha also unemployment and inflation on the rise moreover he is wearing spex made in italy which cost r lakh ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,What a shame on the  party which speaks about T shirt of Rajiv Gandhi but purchased national flag from China.,What a shame on the  party which speaks about T shirt of Rajiv Gandhi but purchased national flag from China.,Y.DANIEL WILSON,UCIL5VBfo8eYNXKsTHHaSnOg,2022-09-11T10:27:11Z,what shame on the party which speaks about shirt of rajiv gandhi but purchased national flag from china ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,VERY NECESSARY TO REMOVE BJP FROM CENTRE.,VERY NECESSARY TO REMOVE BJP FROM CENTRE.,nope nope,UC9SVLEIrOrrGHJyteqy1Vdw,2022-09-11T09:54:48Z,very necessary to remove bjp from centre ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,It will be interesting to know if PM is driving around in a forgiven car or a make in India product ?,It will be interesting to know if PM is driving around in a forgiven car or a make in India product ?,Jawahar Vasan,UCuk2mOpADgzRmwguZyc8ttg,2022-09-11T04:14:01Z,it will be interesting to know if pm is driving around in forgiven car or make in india product ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,This Rani is dancing with cylinders for price rise...,This Rani is dancing with cylinders for price rise...,Ra,UCG0GIhI6iEc-Fzg-d9YgYig,2022-09-11T04:02:51Z,this rani is dancing with cylinder for price rise ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,I skipped the Irani part. Thanks.,I skipped the Irani part. Thanks.,Jyotirmoy Biswas,UCtIdg6RIdA4jM-eJOoY1Fvg,2022-09-11T07:33:43Z,skipped the irani part thanks ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,"Smriti ji, have courage to comment on fuel price.","Smriti ji, have courage to comment on fuel price.",SUPRIYO NATH,UCUFPjZa4cBpznkNZqJvEBWA,2022-09-11T04:22:26Z,smriti ji have courage to comment on fuel price ,NEGATIVE,CRITICISM,
vzcOJZSsVs0,Why bjp doesn&#39;t address price rise unemployment.,Why bjp doesn't address price rise unemployment.,RB,UCDzm29z8FkHlN-PigMpYiZw,2022-09-11T16:44:12Z,why bjp doesn address price rise unemployment ,NEGATIVE,CRITICISM,
