"videoID","textDisplay","textOriginal","authorDisplayName","authorChannelId","publishedAt",,"preprocessed_text","category","sub-category"
"F6vII3WODEk","Adaalt mein faisla hota hai INSAAF nahi. Time to think for us","Adaalt mein faisla hota hai INSAAF nahi. Time to think for us","piecefool","UC1ljvvV7z2dlB5Eaz6793JQ","2022-09-13T16:02:17Z",,"adaalt mein faisla hota hai insaaf nahi time to think for u ","neutral",
"F6vII3WODEk","I am literally tired of this hindu muslim ego clash. I think high time to wake up countrymen 🙏🇮🇳❤️","I am literally tired of this hindu muslim ego clash. I think high time to wake up countrymen 🙏🇮🇳❤️","piecefool","UC1ljvvV7z2dlB5Eaz6793JQ","2022-09-13T16:00:08Z",,"am literally tired of this hindu muslim ego clash think high time to wake up countryman ","negative","criticism"
"F6vII3WODEk","All credit goes to government","All credit goes to government","PrithVi Raj","UCUD1tcP0qr3AnTNqKzYv7gA","2022-09-13T06:44:37Z",,"all credit go to government ","neutral",
"F6vII3WODEk","Ye sahi hai,jb courts terrorist yakub memon ki petition post midnight sun leti hain to fir fair hai judiciary aur jb wahi courts aise verdict deti hain to unko question kr do<br>Bhai agar courts pr bharosa nhi hai to muh utha k jaate kyun ho court mein,<br>They should do out of court settlement but no first they try and show their power and if they lack on evidence and proof in court of law,they start playing victim cards on religion basis,Shameful indeed","Ye sahi hai,jb courts terrorist yakub memon ki petition post midnight sun leti hain to fir fair hai judiciary aur jb wahi courts aise verdict deti hain to unko question kr do
Bhai agar courts pr bharosa nhi hai to muh utha k jaate kyun ho court mein,
They should do out of court settlement but no first they try and show their power and if they lack on evidence and proof in court of law,they start playing victim cards on religion basis,Shameful indeed","nilotpal rai","UCYRqbDQJCeqHuaLzRRz5ELA","2022-09-13T15:42:15Z",,"ye sahi hai jb court terrorist yakub memon ki petition post midnight sun leti hain to fir fair hai judiciary aur jb wahi court aise verdict deti hain to unko question kr do bhai agar court pr bharosa nhi hai to muh utha jaate kyun ho court mein they should do out of court settlement but no first they try and show their power and if they lack on evidence and proof in court of law they start playing victim card on religion basis shameful indeed ","neutral",
"F6vII3WODEk","Giving reservation is correcting historical wrong...so is temple reconstruction...","Giving reservation is correcting historical wrong...so is temple reconstruction...","Sanatan","UCYIEeCRt3mAkOFdLvIMC7Ng","2022-09-13T21:18:01Z",,"giving reservation is correcting historical wrong so is temple reconstruction ","neutral",
"F6vII3WODEk","Atik sahab was right, let&#39;s decide right now, how many mosque and mandir is currently. It should be remain.","Atik sahab was right, let's decide right now, how many mosque and mandir is currently. It should be remain.","Nasim Khan","UC8YObc7Jcj0Oy6GFLJoQFCw","2022-09-14T02:53:41Z",,"atik sahab wa right let decide right now how many mosque and mandir is currently it should be remain ","negative","criticism"
"F6vII3WODEk","according to BBC......to keep the economy of cloth market &amp"," security.....Hindus must stop demanding to get their religious palaces back!🤣","according to BBC......to keep the economy of cloth market & security.....Hindus must stop demanding to get their religious palaces back!🤣","Somnath Chanda","UCqwrZ6VYQHzwVVxYGykSuYA",,,"negative","criticism"
"F6vII3WODEk","Mujhe lagta hai k ye cheezein court k through sort ho. Koi political interference na ho jab faisla aaye.","Mujhe lagta hai k ye cheezein court k through sort ho. Koi political interference na ho jab faisla aaye.","Sumi","UCdDrEMNdpGIJ7qzCw7BSEvg","2022-09-13T07:32:29Z",,"mujhe lagta hai ye cheezein court through sort ho koi political interference na ho jab faisla aaye ","neutral",
"F6vII3WODEk","Jai shree ram 🙏","Jai shree ram 🙏","Thakur shaab","UC6_wqAXfD3v_TVDFRflHsnQ","2022-09-13T17:56:40Z",,"jai shree ram ","positive",
"F6vII3WODEk","Injustice was never solve by british ,now BBC is there to focus on,<br>same on you.if you dont include your failure in past.","Injustice was never solve by british ,now BBC is there to focus on,
same on you.if you dont include your failure in past.","Anand Patel","UCv0MNMYT9KQ7XmPZ2827b4A","2022-09-13T14:20:51Z",,"injustice wa never solve by british now bbc is there to focus on same on you if you dont include your failure in past ","negative","criticism"
"F6vII3WODEk","Justice should Not be compromised.","Justice should Not be compromised.","Paresh Patil","UCh3KOT9SM4IHkWA67sWDikg","2022-09-14T06:19:30Z",,"justice should not be compromised ","neutral",
"F6vII3WODEk","we believe in the constitution and our judiciary system ....court is always right ...","we believe in the constitution and our judiciary system ....court is always right ...","Shubh Giri","UCMAp5oAhaRUN6he-4dKPEeg","2022-09-13T09:19:15Z",,"we believe in the constitution and our judiciary system court is always right ","positive",
"F6vII3WODEk","The tone and tenor are clear- One side wants to build bridges the other side wants to break them.","The tone and tenor are clear- One side wants to build bridges the other side wants to break them.","Bluesky","UC7qh19JsWRDCmoScmgp9HHQ","2022-09-13T10:43:57Z",,"the tone and tenor are clear one side want to build bridge the other side want to break them ","negative","criticism"
"F6vII3WODEk","All hindus, at least have the courage to rectify  our own history. Don&#39;t fall to the libral narrative. Otherwise history will repeat itself.","All hindus, at least have the courage to rectify  our own history. Don't fall to the libral narrative. Otherwise history will repeat itself.","J M R","UCsweZRWYtHekrul6I70rbWA","2022-09-14T07:15:39Z",,"all hindu at least have the courage to rectify our own history don fall to the libral narrative otherwise history will repeat itself ","negative","criticism"
"F6vII3WODEk","Pitty on Hindus who are saying <b>Hindu ke paksh me faisla aya hai to sahi hai</b>","Pitty on Hindus who are saying *Hindu ke paksh me faisla aya hai to sahi hai*","Faltu Account","UCYxD4Q2TR8GrFcHVObujlJw","2022-09-14T02:37:35Z",,"pitty on hindu who are saying hindu ke paksh me faisla aya hai to sahi hai ","negative","criticism"
"F6vII3WODEk","Buddhist shrines ko Brahmins/hindus ne illegal encroach Kiya hai, wo Buddhist ko kab wapas milengey?.. Jagannath Puri, Balaji temple of Hyderabad, vitthal temple of Maharashtra etc and many more were initially Buddhist shrines. Brahmins converted them into hindu temples. BBC needs to address this issue as well.","Buddhist shrines ko Brahmins/hindus ne illegal encroach Kiya hai, wo Buddhist ko kab wapas milengey?.. Jagannath Puri, Balaji temple of Hyderabad, vitthal temple of Maharashtra etc and many more were initially Buddhist shrines. Brahmins converted them into hindu temples. BBC needs to address this issue as well.","Vinay","UCb_qWu9a8-i-6tjFNPQ2xzQ","2022-09-14T05:43:54Z",,"buddhist shrine ko brahmin hindu ne illegal encroach kiya hai wo buddhist ko kab wapas milengey jagannath puri balaji temple of hyderabad vitthal temple of maharashtra etc and many more were initially buddhist shrine brahmin converted them into hindu temple bbc need to address this issue a well ","negative","criticism"
"F6vII3WODEk","We need to be optimistic"," minuscule Criminal Irreligious elements bound to fail &amp"," doomed to go to Hell 👍","We need to be optimistic"," minuscule Criminal Irreligious elements bound to fail & doomed to go to Hell 👍",,"2022-09-14T00:41:12Z",,
"F6vII3WODEk","JAI JAI SHREE RAM 🙏🙏","JAI JAI SHREE RAM 🙏🙏","Raj Kumar Singh Chouhan","UCZFZnX86x5b9yShESSXPhhg","2022-09-13T08:54:42Z",,"jai jai shree ram ","positive",
"F6vII3WODEk","Still They all believe in judgement 💖","Still They all believe in judgement 💖","Akshansh Kumar","UC-akDpOlSs4uZjR_etycjaQ","2022-09-14T05:47:08Z",,"still they all believe in judgement ","negative","criticism"
"F6vII3WODEk","🙏🙏🙏🙏🙏🙏🙏🙏🙏","🙏🙏🙏🙏🙏🙏🙏🙏🙏","Partha Pratim Chattopadhyay","UC1RZCTtr8LFGr3LScc5UEeg","2022-09-13T15:38:47Z",,,"neutral",
"F6vII3WODEk","congress gifted English laws...will always prevent Hindus from......practicing our sanatani religion in India!","congress gifted English laws...will always prevent Hindus from......practicing our sanatani religion in India!","Somnath Chanda","UCqwrZ6VYQHzwVVxYGykSuYA","2022-09-14T13:33:17Z",,"congress gifted english law will always prevent hindu from practicing our sanatani religion in india ","negative","criticism"
"F6vII3WODEk","Jai sree ram","Jai sree ram","Raj Singh","UCqTA0UrmLARdWjTLOHhCK-Q","2022-09-14T01:56:55Z",,"jai sree ram ","positive",
"F6vII3WODEk","Hindu only wants 2-3 sites which was, is and will important to their religion, and we all know these mosque were built to ashamed hindu. <br>And above all we should respect each other.🙏🙏🇮🇳😊","Hindu only wants 2-3 sites which was, is and will important to their religion, and we all know these mosque were built to ashamed hindu. 
And above all we should respect each other.🙏🙏🇮🇳😊","Naveen Chaturvedi","UCHep5Xqcf5le6sxbmBaHt2g","2022-09-13T08:50:30Z",,"hindu only want site which wa is and will important to their religion and we all know these mosque were built to ashamed hindu and above all we should respect each other ","negative","criticism"
"F6vII3WODEk","Ok then we respect to judiciary system and their decision 😌😌😌😌","Ok then we respect to judiciary system and their decision 😌😌😌😌","Khan Khan","UCiE5fZyz7Hy2Xc2habEX5kQ","2022-09-14T06:37:51Z",,"ok then we respect to judiciary system and their decision ","neutral",
"F6vII3WODEk","CHA CHA JE INSAF NAHE HORAHA HAY BOL RAHE MAGAR DIL PE ALLAH KE KASAM KHAKE BOLOO KE WAHAA MANDER THA YA MASJED THE. AUR MANDER HOGA TO BANNE DOO NA.","CHA CHA JE INSAF NAHE HORAHA HAY BOL RAHE MAGAR DIL PE ALLAH KE KASAM KHAKE BOLOO KE WAHAA MANDER THA YA MASJED THE. AUR MANDER HOGA TO BANNE DOO NA.","Rameshwar Khambat","UCStJc_EaTvoQ7AHGZ6uesGQ","2022-09-14T09:51:07Z",,"cha cha je insaf nahe horaha hay bol rahe magar dil pe allah ke kasam khake boloo ke wahaa mander tha ya masjed the aur mander hoga to banne doo na ","negative","criticism"
"F6vII3WODEk","<a href=""https://www.youtube.com/watch?v=F6vII3WODEk&amp;t=2m03s"">2:03</a> why is he hiding his face ??","2:03 why is he hiding his face ??","Somnath Kubal","UC6ppZbUH8xTHDSjhFN1H4ZA","2022-09-13T10:46:00Z",,"03 why is he hiding his face ","negative","criticism"
"F6vII3WODEk","Insaaf to Hinduon ko chahiye. Mandiron ko Khali Karo.","Insaaf to Hinduon ko chahiye. Mandiron ko Khali Karo.","Awesome Abhijit","UCs_8VBQINuxMAIL0OTWn5vA","2022-09-14T01:30:31Z",,"insaaf to hinduon ko chahiye mandiron ko khali karo ","negative","criticism"
"F6vII3WODEk","BBC should leave journalism and start building masjid everywhere","BBC should leave journalism and start building masjid everywhere","Jinu Cool","UCY57O78tKRzoPu5l53xZwgA","2022-09-14T00:47:40Z",,"bbc should leave journalism and start building masjid everywhere ","negative","criticism"
"F6vII3WODEk","Sir please use converted musalman not musalman 🙏🏿🙏🏿🙏🏿🙏🏿","Sir please use converted musalman not musalman 🙏🏿🙏🏿🙏🏿🙏🏿","Dr Tribhuwan","UCGZixxPp-KeM2G4aCaUbElg","2022-09-14T04:46:57Z",,"sir please use converted musalman not musalman ","negative","criticism"
"F6vII3WODEk","7 Muslim and 5 hindu ye hai bbc ke anushar local person .jo media logo ki baat ko bas rakhe o kya sach ka samna karne ko ready hai.plz project history.","7 Muslim and 5 hindu ye hai bbc ke anushar local person .jo media logo ki baat ko bas rakhe o kya sach ka samna karne ko ready hai.plz project history.","gaurav kumar","UCdzGFxYNTJ7p5momTKregng","2022-09-13T16:10:52Z",,"muslim and hindu ye hai bbc ke anushar local person jo medium logo ki baat ko ba rakhe kya sach ka samna karne ko ready hai plz project history ","negative","criticism"
"rgsajpfdFdc","Whole world is laughing at us how we are judging the things and our judiciary system.","Whole world is laughing at us how we are judging the things and our judiciary system.","Ram Bihary","UCidBtJ63MATS3mF-tG_x7ZA","2022-09-11T18:52:17Z",,"whole world is laughing at u how we are judging the thing and our judiciary system ","negative","criticism"
"rgsajpfdFdc","B4 there was unity and world call Indians but now some politicians make divided and rule just like Britisher... ...","B4 there was unity and world call Indians but now some politicians make divided and rule just like Britisher... ...","Abdul Shamil","UC-OkuTKLG3qWjQz3ZicyeIQ","2022-09-11T18:40:38Z",,"b4 there wa unity and world call indian but now some politician make divided and rule just like britisher ","negative","criticism"
"rgsajpfdFdc","The time is coming.we Muslims are ready for their fate. Allah knows better 💔","The time is coming.we Muslims are ready for their fate. Allah knows better 💔","Cox tube","UCzHzVrdzYkz7NaDOcJtrrCA","2022-09-11T16:41:56Z",,"the time is coming we muslim are ready for their fate allah know better ","negative","hate"
"rgsajpfdFdc","Ye Allah kabse sanskrit words use karne laga tha  ? &quot","Gyanvapi&quot"," Aur mujhe nahi pata tha ki muslim rulers itne mahan the jo masjid banwane se pehle pillers pe himdu deities ke inscriptions banwatr the aur masjid mein shivling rakhte the .","Ye Allah kabse sanskrit words use karne laga tha  ? ""Gyanvapi"" Aur mujhe nahi pata tha ki muslim rulers itne mahan the jo masjid banwane se pehle pillers pe himdu deities ke inscriptions banwatr the aur masjid mein shivling rakhte the .","Abhinav Pratap Singh",,"criticism",,
"rgsajpfdFdc","In 1660, for some trifling resistance to the imposition of a capitation tax, Aurangzeb took occasion to demolish the principal Shiwalas, and constructed Masjids or mosques with the same materials and upon the same foundations, leaving portions of the ancient walls exposed here and there, as evidences of the indignity to which the Hindoo religion had been subjected.”","In 1660, for some trifling resistance to the imposition of a capitation tax, Aurangzeb took occasion to demolish the principal Shiwalas, and constructed Masjids or mosques with the same materials and upon the same foundations, leaving portions of the ancient walls exposed here and there, as evidences of the indignity to which the Hindoo religion had been subjected.”","Sudhir kumar","UCZHQqag_E7SSnbAiSQXRGfg","2022-09-11T19:46:28Z",,"in 1660 for some trifling resistance to the imposition of capitation tax aurangzeb took occasion to demolish the principal shiwalas and constructed masjid or mosque with the same material and upon the same foundation leaving portion of the ancient wall exposed here and there a evidence of the indignity to which the hindoo religion had been subjected ","negative","hate"
"rgsajpfdFdc","Same process is taking place like in Babri masjid case","Same process is taking place like in Babri masjid case","Fawzan Momin","UCGNG4ZUkuRaY10AuSOL9Tkg","2022-09-11T18:29:36Z",,"same process is taking place like in babri masjid case ","neutral",
"rgsajpfdFdc","While Aurangazeb was passing near Varanasi on his way to Bengal, the Hindu rajas in his retinue requested that they halt for the day, so that their ranis could go to Varnasi, take a dip in the Ganges and pay their homage to Vishwanath.<br><br>Aurangazeb readily agreed and army pickets were posted on the five mile route to Varnasi. The ranis made the journey in palkis. They took their dip in the Ganges and went to the Vishwanath temple to pay homage. After offering puja, all the ranis returned, except one, the Maharani of Kutch. A thorough search was made of the temple precincts, but the Rani was nowhere to be found.. When Aurangazeb came to know about it, he was enraged. He sent his senior officers to search for the Rani.<br><br>Finally, they found that the statue of Ganesh which was fixed in the wall was a movable one. When they moved the statue, they discovered a flight of stairs that led to the basement. To their horror, they found the missing Rani there, dishonored and crying. The basement was just beneath Vishwanath’s seat.<br><br>The rajas expressed their protests vociferously. As the crime was heinous, the rajas demanded exemplary action. Aurangazeb ordered that as the sacred precincts had been despoiled, idol of Vishwanath should be moved elsewhere, the temple be razed to the ground and the mahant be arrested and punished.<br><br>This evidence of history has been confirmed by the erstwhile curator of the Patna museum, Dr. PL Gupta.","While Aurangazeb was passing near Varanasi on his way to Bengal, the Hindu rajas in his retinue requested that they halt for the day, so that their ranis could go to Varnasi, take a dip in the Ganges and pay their homage to Vishwanath.

Aurangazeb readily agreed and army pickets were posted on the five mile route to Varnasi. The ranis made the journey in palkis. They took their dip in the Ganges and went to the Vishwanath temple to pay homage. After offering puja, all the ranis returned, except one, the Maharani of Kutch. A thorough search was made of the temple precincts, but the Rani was nowhere to be found.. When Aurangazeb came to know about it, he was enraged. He sent his senior officers to search for the Rani.

Finally, they found that the statue of Ganesh which was fixed in the wall was a movable one. When they moved the statue, they discovered a flight of stairs that led to the basement. To their horror, they found the missing Rani there, dishonored and crying. The basement was just beneath Vishwanath’s seat.

The rajas expressed their protests vociferously. As the crime was heinous, the rajas demanded exemplary action. Aurangazeb ordered that as the sacred precincts had been despoiled, idol of Vishwanath should be moved elsewhere, the temple be razed to the ground and the mahant be arrested and punished.

This evidence of history has been confirmed by the erstwhile curator of the Patna museum, Dr. PL Gupta.","A Person TONGUE can tell the Taste of their HEART.","UCpFU31Jp-qmJiQlLd1cxXZA","2022-09-11T17:50:05Z",,"while aurangazeb wa passing near varanasi on his way to bengal the hindu raja in his retinue requested that they halt for the day so that their rani could go to varnasi take dip in the ganges and pay their homage to vishwanath aurangazeb readily agreed and army picket were posted on the five mile route to varnasi the rani made the journey in palkis they took their dip in the ganges and went to the vishwanath temple to pay homage after offering puja all the rani returned except one the maharani of kutch thorough search wa made of the temple precinct but the rani wa nowhere to be found when aurangazeb came to know about it he wa enraged he sent his senior officer to search for the rani finally they found that the statue of ganesh which wa fixed in the wall wa movable one when they moved the statue they discovered flight of stair that led to the basement to their horror they found the missing rani there dishonored and cry the basement wa just beneath vishwanath seat the raja expressed their protest vociferously a the crime wa heinous the raja demanded exemplary action aurangazeb ordered that a the sacred precinct had been despoiled idol of vishwanath should be moved elsewhere the temple be razed to the ground and the mahant be arrested and punished this evidence of history ha been confirmed by the erstwhile curator of the patna museum dr pl gupta ","neutral",
"rgsajpfdFdc","As a Muslim I’m tired of hearing this nonsense every time a mosque has to be removed is a shame as an Indian Muslim, why don’t you all remove all the masjid no matter if there is an idol or not, it’s a shame why can’t we just leave mosque &amp; temple alone &amp; do just praying instead of digging in &amp; saying oh it was first a temp oh it was first a mosque everyone here knows years before when mosques &amp;  temples are built they are built in  a certain way so it was clear they are built in certain shape &amp; form .","As a Muslim I’m tired of hearing this nonsense every time a mosque has to be removed is a shame as an Indian Muslim, why don’t you all remove all the masjid no matter if there is an idol or not, it’s a shame why can’t we just leave mosque & temple alone & do just praying instead of digging in & saying oh it was first a temp oh it was first a mosque everyone here knows years before when mosques &  temples are built they are built in  a certain way so it was clear they are built in certain shape & form .","Hussaini Baqer","UC9MNKKkYK8Ia8D4LI8VBKwg","2022-09-12T01:50:41Z",,"a muslim tired of hearing this nonsense every time mosque ha to be removed is shame a an indian muslim why don you all remove all the masjid no matter if there is an idol or not it shame why can we just leave mosque temple alone do just praying instead of digging in saying oh it wa first temp oh it wa first mosque everyone here know year before when mosque temple are built they are built in certain way so it wa clear they are built in certain shape form ","negative","hate"
"rgsajpfdFdc","Preperation of general election started. Fair judgement never expected.","Preperation of general election started. Fair judgement never expected.","Mohd Yaseen Khan","UCvdXvUawxz0rBwXtVZorw8A","2022-09-12T12:16:31Z",,"preperation of general election started fair judgement never expected ","negative","criticism"
