Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text,category,sub-category,
102,1.15E+18,madshumanbeing1,1.57E+18,2022-09-13 07:34:50+00:00,"144 days more to go..!
#BharatJodoYatra https://t.co/NMWf8zeE9J",en,1,13782,144 day more to go URL ,neutral,,
103,1.21E+18,Hisamud47588796,1.57E+18,2022-09-13 07:34:45+00:00,@Ahimsa1616 @hisamuddink51 @Divyadrashti1 @AnilKum04619533 @Ramesh270549 @SudhirDevSharma @JitendraManoha6 @AaqCyrus @RajeshS50119232 @SavitaSikarwar @ADiravia @aj23004007 @SinghRakeshKu14 @RajeshK83114811 @_Mahakal_D_ @Chandra51364237 @RajaRajavira @Raji,en,1,3490,leader of one and all the future is here rahul gandhi ji meeting differently able people and giving them hope that thing will be better URL ,positive,,
104,1.05E+18,SevadalKL,1.57E+18,2022-09-13 07:34:43+00:00,This little one too supported the #BharatJodoYatra https://t.co/LonLTjGPWa,en,0,6499,this little one too supported the URL ,positive,,
115,3340060574,_jagannath94_,1.57E+18,2022-09-13 07:34:22+00:00,After BJP-RSS gang watch congress party's #BharatJodoYatra 😁😁👇 https://t.co/VIl6HLzxCX,en,0,526,after bjp r gang watch congress party URL ,,,
120,970138980,pitchaijohn1961,1.57E+18,2022-09-13 07:34:08+00:00,"@UWCforYouth Congress Finished AAP.. 
This is the truth... 
#BharatJodoYatra https://t.co/PdN7ul0MJF",en,0,1759,congress finished aap this is the truth URL ,neutral,,
123,3221074897,laboni276,1.57E+18,2022-09-13 07:34:03+00:00,"“How do we fight against this monstrous machine of lies and falsehood? The purveyors of hate and falsehood have so many resources – money, pliant news channels, troll armies, and the police too.”……👆Why we need a #BharatJodoYatra  https://t.co/2MVruksWei",en,0,1257,how do we fight against this monstrous machine of lie and falsehood the purveyor of hate and falsehood have so many resource money pliant news channel troll army and the police too why we need URL ,negative,criticism,
138,770869884,mystic_shoo,1.57E+18,2022-09-13 07:33:31+00:00,"🔻Throw slush on him

🔻Demean him in such third rate ways

🔻Frame videos &amp; create lies to tarnish his image

🔻Spew venom on him wilfully 

🌸BUT🌸

💝Like GOLD which shines brighter in fire , RAGA 💝stands tall ,with the shining armour of TRUTH &amp; COMPASSION!

#BharatJodoYatra https://t.co/FmL11NphSm",en,0,7230,throw slush on him demean him in such third rate way frame video amp create lie to tarnish his image spew venom on him wilfully but like gold which shine brighter in fire raga stand tall with the shining armour of truth amp compassion URL ,positive,,
150,3128813966,a_amgoth,1.57E+18,2022-09-13 07:33:14+00:00,"With every step we take in #BharatJodoYatra, India moves forward with us. Step by step, we get closer to development, progress, growth, and a peaceful and glorious nation. https://t.co/y0qm59Kcga",en,0,249,with every step we take in india move forward with u step by step we get closer to development progress growth and peaceful and glorious nation URL ,positive,,
161,1.05E+18,HardikV51396109,1.57E+18,2022-09-13 07:32:53+00:00,"144 days left 
#BharatJodoYatra https://t.co/TVQlX3jLlU",en,0,2112,144 day left URL ,,,
170,1.33E+18,Bilacksmith,1.57E+18,2022-09-13 07:32:17+00:00,"@ndtv To take a long jump one has to go little back so that He/She can jump longer. The game is just started the best is on the way. 
#BharatJodoYatra 
@anushakunmittal",en,0,227,to take long jump one ha to go little back so that he she can jump longer the game is just started the best is on the way ,positive,,
174,2479398368,csg52,1.57E+18,2022-09-13 07:32:11+00:00,"@INCTelangana @JayasreeVijayan @smritiirani #BharatJodoYatra ,#BharatTodoYatra 
VISITING A STATUE OF SRI VIVEKANANDA JI it does not mean that you are following his teachings  WHAT A JOKE.  IF CONGRESS had followed it  India would have been a better place ",en,0,27,visiting statue of sri vivekananda ji it doe not mean that you are following his teaching what joke if congress had followed it india would have been better place 500 sikh need not have been butchered amethi gave you lesson ,negative,criticism,
190,1.41E+18,binodwahehe,1.57E+18,2022-09-13 07:31:20+00:00,"144 days more to burn 
🔥🔥🔥🔥
#BharatJodoYatra https://t.co/onhdcgkfVZ",en,0,1353,144 day more to burn URL ,,,
191,2392031700,boomlive_in,1.57E+18,2022-09-13 07:31:18+00:00,"The Congress said that the aim of the yatra was to unite the country on certain problems faced by the country.

#RahulGandhi #BharatJodoYatra #Congress 
https://t.co/VSPXLaqHG4",en,1,74691,the congress said that the aim of the yatra wa to unite the country on certain problem faced by the country URL ,negative,criticism,
205,388742077,moini_565,1.57E+18,2022-09-13 07:30:58+00:00,"Shri Ghulam Nabi meeting Shri Amit Shah and Shri Samant Kumar at Amit Shah residence before leaving Congress Party,
#IndiaSave Run the traitors of the country And Save the Country #BharatJodoYatra https://t.co/BpbTOcOihU",en,0,8661,shri ghulam nabi meeting shri amit shah and shri samant kumar at amit shah residence before leaving congress party run the traitor of the country and save the country URL ,negative,criticism,
210,1.41E+18,SevadalBUD,1.57E+18,2022-09-13 07:30:50+00:00,"Feeling safer than ever with the additional security!

#BharatJodoYatra https://t.co/dQM3kO0eRt",en,0,838,feeling safer than ever with the additional security URL ,positive,,
215,1.22E+18,RupenderUP1,1.57E+18,2022-09-13 07:30:40+00:00,"Just keeping giving such befitting replies 😂
#BharatJodoYatra https://t.co/VyFn9UeNE4",en,0,265,just keeping giving such befitting reply URL ,positive,,
221,237451556,ashiscray,1.57E+18,2022-09-13 07:30:28+00:00,"LIVE from #Kerala. @INCIndia's #BharatJodoYatra @bharatjodo led  by @RahulGandhi. A gigantic mass contact, mass consciousness campaign. Not on a fancy makeshift chariot. A 3,500 km walk to unitea divided India! Staggering! @INCTamilNadu @INCKerala https://t.co/DmEKs9dPaB",en,0,796,live from led by gigantic mass contact mass consciousness campaign not on fancy makeshift chariot 500 km walk to unitea divided india staggering URL ,neutral,,
239,1.38E+18,INC_Television,1.57E+18,2022-09-13 07:30:00+00:00,"Common GOALS!

The #BharatJodoYatra kick-started today with a wholesome interaction between Rahul Gandhi and young footballers in Kerala.

We all walk to ensure their tomorrow is- better. https://t.co/wmdZuPCwRd",en,1,58287,common goal the kick started today with wholesome interaction between rahul gandhi and young footballer in kerala we all walk to ensure their tomorrow is better URL ,positive,,
260,1.44E+18,NandiniRajawat7,1.57E+18,2022-09-13 07:29:24+00:00,"We need to fight the Sanghis and we need to stand up for every Indian.

#BharatJodoYatra #Sanghis https://t.co/FEKunes5bH",en,1,884,we need to fight the sanghis and we need to stand up for every indian URL ,negative,hate,
269,1331523428,AjitsinhJagirda,1.57E+18,2022-09-13 07:29:06+00:00,@GSNarayan1960 @SweetBandit108 @AnilNagrani6 @nkjohri @Ravichiruvolu1 @apurvaparikh18 @Amaresh45814810 @Bhupendra26 @dharmvir_9 @ugotbala @sukumaranlens @AgrawalSadhuram @ArunDeshpande20 @Savitritvs @sureshseshadri1 @NetaNiyanta @vbanno @Dr_MR_Satapathy @,en,0,4279,vatican flag is seen at port protest at trivandrum this show who are behind this protest they visited rahulgandhi today or it like islamic terrorist in guise of protest URL ,negative,hate,
277,1.28E+18,Voiceofmythoug1,1.57E+18,2022-09-13 07:28:45+00:00,"@americai @dmk_raja @INCTamilNadu @KS_Alagiri @INCIndia @CMOTamilnadu @RahulGandhi @anand_srini @MKumaramangalam know why congress is failing?
Having this kind of people in your party who is being mouth piece of bjp&amp;rss.having  these people in party .",en,0,8,know why congress is failing having this kind of people in your party who is being mouth piece of bjp amp r having these people in party how will opposition unite or india unite if this is congress won vote for it ,negative,criticism,
285,97849048,rvelichapat,1.57E+18,2022-09-13 07:28:34+00:00,"@GauravPandhi @pinarayivijayan 1. Availability of ambulances on call which is a good sign
2. #BharatJodoYatra and all other vehicles and procession give way to ambulances on priority which is a sign of educated community. 
#proudmalayali",en,0,266,availability of ambulance on call which is good sign and all other vehicle and procession give way to ambulance on priority which is sign of educated community ,positive,,
294,1.39E+18,livemanish_,1.57E+18,2022-09-13 07:28:23+00:00,"Selfi time ❤️❤️✌️
#BharatJodoYatra https://t.co/qBICBdnIMO",en,0,11488,selfi time URL ,,,
299,1043308136,XSingam,1.57E+18,2022-09-13 07:28:15+00:00,@BJP4India @sambitswaraj It is Sambit who is creating a violent campaign against #BharatJodoYatra which is happening in a peaceful manner with Common people taking part voluntarily #DARRGAYABJP,en,0,60,it is sambit who is creating violent campaign against which is happening in peaceful manner with common people taking part voluntarily ,negative,hate,
328,1.53E+18,Gurda_Kaleja,1.57E+18,2022-09-13 07:27:30+00:00,#BharatJodoYatra Movement is disaster for RSS!! 🤞 https://t.co/abIBAgjcRi,en,0,926,movement is disaster for r URL ,negative,,
329,8.56E+17,AbdulMajid_inc,1.57E+18,2022-09-13 07:27:29+00:00,Driving force behind #BharatJodoYatra 🇮🇳. The smile says it all.                             @INCIndiaLive @rohanrgupta @RahulGandhi @OfficeOfKNath https://t.co/tUKeF31SeX,en,0,216,driving force behind the smile say it all URL ,positive,,
346,1.21E+18,ShivMehra07,1.57E+18,2022-09-13 07:26:52+00:00,"@kap_bee
He is there
A Leader, 
A True Gentleman,
What You Need In PM?? 
Manipulator,
Emotionless,
Lier,
Troller,
Propagator,
Or You Need A Simple &amp; Sober Man With Lots Of Respect &amp; Pain For Our Countrymen To Lead You,
#MyLeaderRahulGandhi 
#Bhara",en,0,1693,he is there leader true gentleman what you need in pm manipulator emotionless lier troller propagator or you need simple amp sober man with lot of respect amp pain for our countryman to lead you URL ,neutral,,
359,17611642,terence_fdes,1.57E+18,2022-09-13 07:26:07+00:00,@Puneetvizh @TweetInder @SamHarris2429 @shuchitasrivast @JoeSaldanha @Trendsetting123 @SethLalits @Ajaykumar00009 @KJSingh12518759 @ronaldrajanna @priyankagandhi @fredhamilton @LambaAlka @RahulGandhi @pathan_neamath @SaddamSamsadINC @geetv79 @kukk44 @Suja,en,0,2764,why are they so rattled remove tweet on burning short bjp to congress URL ,negative,criticism,
364,2538055734,Trendsetting123,1.57E+18,2022-09-13 07:26:01+00:00,@anushakunmittal @Pawankhera @RShivshankar @navikakumar @PadmajaJoshi @_pallavighosh @INCTharoorian @ShashiTharoor @PriyaaReturnz @narendramodi @bole_bharat @FreedaNicholas @mynameswatik @adarshdevaraj And When I saw the previous clip of the #BharatJodoYa,en,0,6789,and when saw the previous clip of the wa reminded of the scene from the film benhur take look shame for being silent on we will fight it out without URL ,neutral,,
367,1.05E+18,SevadalKL,1.57E+18,2022-09-13 07:25:55+00:00,"Another interesting visual a senior citizens joined the #BharatJodoYatra only for the sake of our country and Shri @RahulGandhi 
@RGWayanadOffice https://t.co/Iaef9eYTmd",en,1,6499,another interesting visual senior citizen joined the only for the sake of our country and shri URL ,positive,,
377,2242478546,nmleo1,1.57E+18,2022-09-13 07:25:38+00:00,"#thoughtleadership: #BharatJodoYatra #KartavyaPath Se-III
I want to strengthen the atmosphere of #Unity , I want to free people from #hatred. Resentment should go..., there should be no rivalry..., it should be removed from the entire country- @narendramodi 20Nov2011
@RahulGandhi https://t.co/X0N1UgWo9t",en,0,1053,se ii want to strengthen the atmosphere of want to free people from resentment should go there should be no rivalry it should be removed from the entire country 20nov2011 URL ,positive,,
393,1.56E+18,Akhil_Mdass,1.57E+18,2022-09-13 07:25:11+00:00,"Spread love
#BharatJodoYatra .",en,0,1,spread love ,positive,,
411,1.20E+18,SevadalKPT,1.57E+18,2022-09-13 07:24:20+00:00,"Glimpse’s from Kerala , the #BharatJodoYatra in a single frame.

#BharatJodoYatra https://t.co/QgKgIwnSwc",en,0,738,glimpse from kerala the in single frame URL ,neutral,,
416,2659627225,kcjoseph99,1.57E+18,2022-09-13 07:24:17+00:00,@vdsatheesan #BharatJodoYatra is the biggest massive people’s movement Kerala has ever seen,en,0,3334,is the biggest massive people movement kerala ha ever seen ,neutral,,
420,301294543,ChowdharyDeepak,1.57E+18,2022-09-13 07:23:59+00:00,"@gurdeepsappal It may also be possible that an ambulance is being deliberately sent on the route of the #BharatJodoYatra, an ambulance may get stuck in this yatra and this yatra can be maligned! BJP and opponents can stoop to any extent.",en,0,136,it may also be possible that an ambulance is being deliberately sent on the route of the an ambulance may get stuck in this yatra and this yatra can be maligned bjp and opponent can stoop to any extent ,negative,hate,
427,1563042793,NSUICG,1.57E+18,2022-09-13 07:23:33+00:00,"Day 6 of #BharatJodoYatra began from Kazhakkoottam in the outskirts of Thiruvananthapuram. The padayatra has just reached the morning break point at Mamom near Attingal, where there will be a number of interactions with different groups. https://t.co/sKKhQv9WJr",en,0,25896,day of began from kazhakkoottam in the outskirt of thiruvananthapuram the padayatra ha just reached the morning break point at mamom near attingal where there will be number of interaction with different group URL ,neutral,,
439,1.22E+18,Arshi_E_Sid,1.57E+18,2022-09-13 07:22:57+00:00,Some terrible planning must be cooking in the BJP quarters to counter the #BharatJodoYatra,en,2,6467,some terrible planning must be cooking in the bjp quarter to counter the ,negative,hate,
443,7370332,sanjukta,1.57E+18,2022-09-13 07:22:49+00:00,"Day 6 of #BharatJodoYatra. T-shirt ho gaya, Hindu-Muslim ho gaya. Sorry, this time it was Hindu-Christians. BJP came up with anything new yet? Cost of @RahulGandhi's shoes maybe? @amitmalviya running out of ideas in just 6 days?",en,0,45357,day of shirt ho gaya hindu muslim ho gaya sorry this time it wa hindu christian bjp came up with anything new yet cost of shoe maybe running out of idea in just day ,negative,criticism,
444,1.34E+18,_Prashanth_23,1.57E+18,2022-09-13 07:22:47+00:00,"There is a tide of emotions,
Patriotism is countless!

#BharatJodoYatra 🇮🇳 https://t.co/Q9YulKc5V8",en,1,1128,there is tide of emotion patriotism is countless URL ,positive,,
451,146927264,achi_suja,1.57E+18,2022-09-13 07:22:34+00:00,"Nice to see many journalists , activists and neutralists having  so much clarity on #BharatJodoYatra. Not even congressiz are defending RG like this. Must watch .👏❤️🔥
#RahulGandhi
#Rahul_Gandhi https://t.co/vBGPnOXi0o",en,0,87,nice to see many journalist activist and neutralist having so much clarity on not even congressiz are defending rg like this must watch URL ,positive,,
488,970138980,pitchaijohn1961,1.57E+18,2022-09-13 07:21:29+00:00,"Sanghis got burnt.
It is very funny to see Sanghis jealous.

Rahul's yatra is successful even in very early stage. 

By end of Yatra, BJPians will be out of steam.

Congress's victory is confirmed now in 2024.

Rahul's Yatra is uniting India.
Rahul's yatra wins.
#BharatJodoYatra https://t.co/lMNPgjbUtx",en,0,1759,sanghis got burnt it is very funny to see sanghis jealous rahul yatra is successful even in very early stage by end of yatra bjpians will be out of steam congress victory is confirmed now in 2024 rahul yatra is uniting india rahul yatra win URL ,negative,hate,
508,1527999702,NSUIDelhi,1.57E+18,2022-09-13 07:20:49+00:00,"Their love and trust keep the Padyatris motivated to fight for an inclusive Bharat. We owe them a future full of opportunities and freedom to pursue their goals. 

Marching on together! 
#BharatJodoYatra 🇮🇳 https://t.co/VBM2dgDTWn",en,0,16997,their love and trust keep the padyatris motivated to fight for an inclusive bharat we owe them future full of opportunity and freedom to pursue their goal marching on together URL ,,,
517,1.54E+18,politic002,1.57E+18,2022-09-13 07:20:34+00:00,"📢📢📢

Looking for *#BharatJodoYatra 🇮🇳* exclusive content at one place?🤔

Tap on the link and join the Bharat Jodo Yatra Official Telegram Channel to access and amplify the historic moments from Bharat Jodo Yatra with Rahul Gandhi.

Subscribe Now 👉👉 : https://t.co/Q0n22N89JL",en,1,1753,looking for exclusive content at one place tap on the link and join the bharat jodo yatra official telegram channel to access and amplify the historic moment from bharat jodo yatra with rahul gandhi subscribe now URL ,neutral,,
520,1527999702,NSUIDelhi,1.57E+18,2022-09-13 07:20:28+00:00,"The enthusiasm of all the Padyatris &amp; the people of Kerala has been exceptional. 
Early morning scenes from Thiruvananthapuram.
#BharatJodoYatra 🇮🇳 https://t.co/0RpbAL17Rm",en,0,16997,the enthusiasm of all the padyatris amp the people of kerala ha been exceptional early morning scene from thiruvananthapuram URL ,positive,,
523,8.49E+17,AI_Neurologist,1.57E+18,2022-09-13 07:20:19+00:00,"@INCIndia This #BharatJodoYatra has taken an emotional turn.

My eyes are wet while typing this reply. 🥺🥲",en,0,1281,this ha taken an emotional turn my eye are wet while typing this reply ,positive,,
526,1.15E+18,madshumanbeing1,1.57E+18,2022-09-13 07:20:15+00:00,"Shri @GauravPandhi caught up with this girl during #BharatJodoYatra and offered help,she said
""Ladki Hoon Lad Sakti Hoon""
27 years old Parvati Sahu from Chhattisgarh decided last Sunday she should join #BharatJodoYatra and now she is traveling on her own. https://t.co/qDdyRRTPKX",en,1,13782,shri caught up with this girl during and offered help she said ladki hoon lad sakti hoon 27 year old parvati sahu from chhattisgarh decided last sunday she should join and now she is traveling on her own URL ,positive,,
527,7.36E+17,nrynshny,1.57E+18,2022-09-13 07:20:14+00:00,"“Some people set fires wherever they go, and have mastered the art of playing the burn victim.”
#SteveMaraboli ⁦@sambitswaraj⁩ #BharatJodoYatra https://t.co/aMfoVr3uqQ",en,1,1142,some people set fire wherever they go and have mastered the art of playing the burn victim URL ,neutral,,
535,1.43E+18,Mohan08417213,1.57E+18,2022-09-13 07:19:57+00:00,"This is the way we should join to unite India. 
#BharatJodoYatra , @INCIndia https://t.co/SRzJyXaCYw",en,0,163,this is the way we should join to unite india URL ,positive,,
545,1.54E+18,AlluKaza,1.57E+18,2022-09-13 07:19:29+00:00,"@rejitweets commies will rule kerala for next 10 years,

and BJP will rule india for next 30 years,

pappu leads congres there is no come back,

#BharatJodoYatra Is To Secure Pappus Prime Minister Seat Of Wayanad",en,0,129,commie will rule kerala for next 10 year and bjp will rule india for next 30 year pappu lead congres there is no come back is to secure pappus prime minister seat of wayanad ,negative,hate,
555,372777571,TWTW_Official,1.57E+18,2022-09-13 07:19:03+00:00,"#WATCH: How far will the #BharatJodoYatra take @RahulGandhi in his political career? All this and much more with @Broacha_Cyrus Ft. @kunal_vijayakar @mohitmahale on @CNNnews18 via @YouTube 
LINK: https://t.co/dNlZXSPhtK https://t.co/02TZmt07Q7",en,1,15933,how far will the take in his political career all this and much more with ft on via link URL URL ,neutral,,
556,1.13E+18,BhalkeMadhav,1.57E+18,2022-09-13 07:18:59+00:00,"@RahulGandhi is Congress
Congress is secular 
Secular is Bharat
Bharat is India. 
#BharatJodoYatra https://t.co/oTSD8IYM5A",en,0,131,is congress congress is secular secular is bharat bharat is india URL ,neutral,,
557,732436999,ShashiK_Sharma,1.57E+18,2022-09-13 07:18:55+00:00,@INCIndia #Model  - unite #India with love and affection. Take whole country forward with holistic development and welfare of all section of the society.  #BharatJodoYatra @RahulGandhi ji @ashokgehlot51 ji #MustReadEditorial https://t.co/9SslWiLLgY,en,1,17283,unite with love and affection take whole country forward with holistic development and welfare of all section of the society ji ji URL ,positive,,
561,2665049372,SukantaPhdNou,1.57E+18,2022-09-13 07:18:44+00:00,"Great Respect &amp; Honor for A Person showering unbelievable Love &amp; Kindness - He is Rahul Gandhi Sir!
#BharatJodoYatra  @RahulGandhi https://t.co/nc3DYs9Nlu",en,0,43,great respect amp honor for person showering unbelievable love amp kindness he is rahul gandhi sir URL ,positive,,
563,943230524,tehijacob,1.57E+18,2022-09-13 07:18:34+00:00,"Modi Ji called himself ""chai wala,"" but nobody saw him having chai with aam janta. 

Rahul Gandhi is right now winning every heart by meeting people over a cup of chai. 

#BharatJodoYatra #CongressParty #BJPFailsIndia #BJPfails #ModiFailedIndia",en,1,430,modi ji called himself chai wala but nobody saw him having chai with aam janta rahul gandhi is right now winning every heart by meeting people over cup of chai ,neutral,,
567,1.19E+18,seethakkaMLA,1.57E+18,2022-09-13 07:18:24+00:00,"🔥Some say he hugged a Muslim but I say he hugged a thanked old Aged mother with love and gave her water for joining him in #BharatJodoYatra..

@RahulGandhi @priyankagandhi @digvijaya_28 @Jairam_Ramesh @SachinAhimsa @Pawankhera #RahulGandhi https://t.co/5BIMQtipv8",en,2,88658,some say he hugged muslim but say he hugged thanked old aged mother with love and gave her water for joining him in URL ,positive,,
572,7.96E+17,INCRizwanKHAN,1.57E+18,2022-09-13 07:18:06+00:00,"Smiles fuel the fight!

#BharatJodoYatra 🇮🇳 https://t.co/GnFKGlLKOB",en,1,1373,smile fuel the fight URL ,,,
575,2778448032,NageshraoH,1.57E+18,2022-09-13 07:17:54+00:00,"@drthomasisaac Because RSS has the highest number of shakhas in Kerala.
Give me one reason why you cannot support, if not join, #BharatJodoYatra wholeheartedly?
What is your agenda?
We are constrained to ask the question is your agenda in sync with that o",en,0,878,because r ha the highest number of shakhas in kerala give me one reason why you cannot support if not join wholeheartedly what is your agenda we are constrained to ask the question is your agenda in sync with that of bjp r ,neutral,,
584,1.11E+18,thefirstindia,1.57E+18,2022-09-13 07:17:23+00:00,"#FIJaipur | ‘BJP is shocked by Bharat Jodo Yatra, making strange statements’

READ:https://t.co/oDqpLPGm9A

#Rajasthan #Jaipur #Alwar #BharatJodoYatra #JitendraSingh @RahulGandhi  @INCRajasthan @INCIndia https://t.co/8bIQ24IvHt",en,1,8296,bjp is shocked by bharat jodo yatra making strange statement read URL URL ,neutral,,
585,8.24E+17,Xenohadi,1.57E+18,2022-09-13 07:17:12+00:00,"RT @ani_digital: Congress' Bharat Jodo Yatra enters 7th day

Read @ANI Story | https://t.co/DNNAjuD6Dn
#Congress #BharatJodoYatra #RahulGandhi #LoksabhaElection2024 https://t.co/5NBYNExxAG @PMOIndia #xenoh",en,0,333,rt congress bharat jodo yatra enters 7th day read story URL URL ,neutral,,
595,1.06E+18,BabuKhan123456,1.57E+18,2022-09-13 07:16:39+00:00,"Chronology samjhye :
Bharat Jodo Yatra in Kerala: 18 days 
And Biggest state of India,UP : 2 days 
😅🤷‍♂️
I'm just saying it no politics here
#BharatJodoYatra",en,0,68,chronology samjhye bharat jodo yatra in kerala 18 day and biggest state of india up day just saying it no politics here ,neutral,,
602,1.30E+18,RekhaRajiv3,1.57E+18,2022-09-13 07:16:26+00:00,real face of #BJP #HinduEcosystem #Hindus #BharatJodoYatra https://t.co/pteH5RZeQB,en,0,640,real face of URL ,,,
607,4356272713,tfranztrueindia,1.57E+18,2022-09-13 07:16:11+00:00,"@RahulGandhi @bharatjodo Jodo Bharat Ko like a string of pearls of different colours and gems of different cuts.🤝🤝🤝

#BharatJodoYatra 💕💕💕",en,0,15,jodo bharat ko like string of pearl of different colour and gem of different cut ,,,
608,1.52E+18,IamPooja143,1.57E+18,2022-09-13 07:16:05+00:00,"Land of Knowledge is India.
#निक्कर_नहीं_महंगाई_मुद्दा_है
#TejasswiPrakash 
#BharatJodoYatra https://t.co/TuCkO0UCmc",en,0,255,land of knowledge is india URL ,,,
611,1.40E+18,SevadalGHZ,1.57E+18,2022-09-13 07:16:01+00:00,"BJP will fan flames of hatred.

INC will continue to march through this country, healing hurt souls, bringing Indians together.

144 days more of #BharatJodoYatra https://t.co/eXKolr9lJ9",en,0,576,bjp will fan flame of hatred inc will continue to march through this country healing hurt soul bringing indian together 144 day more of URL ,,,
621,154818615,sksaran2163,1.57E+18,2022-09-13 07:15:43+00:00,#BharatJodoYatra @bindsssInvestor @DoctorAjayita Forever young Forever love seeker. https://t.co/OUOsC927qO,en,0,119,forever young forever love seeker URL ,positive,,
630,1.29E+18,madhyamam_eng,1.57E+18,2022-09-13 07:15:21+00:00,Third day of Kerala leg of Bharat Jodo Yatra began with strong turnout #Kerala #congress #rahulgandhi #BharatJodoYatra https://t.co/tCkFp2RghC,en,0,865,third day of kerala leg of bharat jodo yatra began with strong turnout URL ,positive,,
635,1.05E+18,SevadalKL,1.57E+18,2022-09-13 07:15:13+00:00,"@GauravPandhi is getting inspiring stories for everyone to incorporate this time a Retired 60 year old all the way from Haryana walking for a better and safe India for others with his luggage and health issues , this is #BharatJodoYatra 
@Jairam_Ramesh 
@",en,0,6499,is getting inspiring story for everyone to incorporate this time retired 60 year old all the way from haryana walking for better and safe india for others with his luggage and health issue this is URL ,positive,,
640,94761188,NewIndianXpress,1.57E+18,2022-09-13 07:15:00+00:00,"The #RSS has lashed out at Congress' #BharatJodoYatra and said that if the elements engaged in unifying India are based on hatred then the exercise would look like a political gimmick.

https://t.co/b84kL3Ap76",en,0,480946,the ha lashed out at congress and said that if the element engaged in unifying india are based on hatred then the exercise would look like political gimmick URL ,neutral,,
