username,orig_sentence,cleaned_sentence,category,sub-category
ytComments_Rahul Bhushan,This could be a game changer for Congress as well as for the BJP.,could game changer congress well bjp,positive,
ytComments_Samuel Joseph,"Nowadays politics is centered around what one's eating, wearing etc.and not the matters pertaining to development of the nation etc. Great shame!",nowadays politics center around eat wear etcand not matter pertain development nation etc great shame,negative,criticism
ytComments_ahamedkila,"Long live Rahul Gandhi. May God protect you from harm, bless you with knowledge and guide you the correct path to rule India wisely. People can't forget sacrifices made by your family.",long live rahul gandhi may god protect harm bless knowledge guide correct path rule india wisely people cant forget sacrifice make family,positive,
ytComments_Vetrivel R,Rahul ji will defeat the fascists. Jai hind...,rahul ji defeat fascist jai hind,positive,
ytComments_HYPER THEORYTECH,"India is union of states where every states have there own language eating habits.
What's the problem here nothing wrong is been said.",india union state every state language eat habit whats problem nothing wrong say,positive,
ytComments_GAMING JISIKA CZ,I respect everyone who were involved in this seriously the best price that I've ever seen on YouTube. 🥰😊😊🥰,respect everyone involve seriously best price ive ever see youtube,positive,
ytComments_sanjay Patil,"Rahul ji, We are fed up with achhe din. We are anxiously awaiting to see the good olden days. Looking at over helming response, we Hope you will succeed. We are with you. God bless you 💐🙏",rahul ji feed achhe din anxiously await see good olden day look helm response hope succeed god bless,positive,
ytComments_Vitsu Janger Yim,Pro BJB channel.. Thanks for entertaining the audience😂,pro bjb channel thanks entertain audience,negative,criticism
ytComments_gk kavipandian,"everyday , by watching the Yatra ,People are  easily understanding the simplicity talent  and casual behaviour of Shri Rahul Gandhi ji, the next prime Minister of India..G. Kavi Pandian Tirunelveli Tamil Nadu..",everyday watch yatra people easily understand simplicity talent casual behaviour shri rahul gandhi ji next prime minister indiag kavi pandian tirunelveli tamil nadu,positive,
ytComments_Lakshmikantha S,"Being a home minister let him  give us fear free ,secured atmosphere  to live peacefully, instead  of  pointing out  petty ,irrelevant topics",home minister let give u fear free secure atmosphere live peacefully instead point petty irrelevant topic,positive,
ytComments_Karthik R S,Genuinely i think this yatra has made an impact .. that is why these main leaders of bjp worrying and commenting on it in big stages .. wearing clothes is there own choices .. he is not using public money to buy those,genuinely think yatra make impact main leader bjp worry comment big stage wear clothes choice not use public money buy,positive,
ytComments_záG entertainments,"This will be the biggest Bharat jodo yatra 
Full support to Rahul Gandhi",big bharat jodo yatra full support rahul gandhi,positive,
ytComments_Arun.,BJP in big fear after RAHUL yatra,bjp big fear rahul yatra,positive,
ytComments_mohan kumar,"How BJP is saying about his T-shirts , a man who is wearing 10 lakhs rupees dress with his name printed and some lakhs  rupees specs",bjp say tshirts man wear 10 lakhs rupee dress name print lakhs rupee specs,negative,criticism
ytComments_Semradangla Longchar,Great movement God bless all🙏🙏🙏🙏🙏🙏,great movement god bless,positive,
ytComments_sanjay Patil,"Journalist Mausami, energetic and commendable job 🌹👏",journalist mausami energetic commendable job,positive,
ytComments_DR MANI KANDAN,"It’s clearly visible in their faces that their intestinal contractions raised !! By this kind of speech bjp raising Rahul’s image by keep on talking about Rahul In name of mocking him !! But the reality is he never speaking abtBJP’s  political play rather is taking about unemployment,social justice and so on ….let this Yatra bring him a great success ..everyone needs a man who truely protect our constitution and peoples right !! JAIHIND ♥️",clearly visible face intestinal contraction raise kind speech bjp raise rahuls image keep talk rahul name mock reality never speak abtbjps political play rather take unemploymentsocial justice let yatra bring great success everyone need man truely protect constitution people right jaihind,positive,
ytComments_Rajan Nair,"Somebody should find out which brand of baniyan and underwear Modi and Shah wearing as no congressman has ever questioned this type of personal attaire of these leaders. BJP leaders including 12th pass actress mantri who is also a Loud speaker questions Rahul about his personal things.  BJP has rattled seeing the response from ordinary people following the Yatra as also welcome arches and crowd gathered either side of roads to greet the Yatris. This is giving BJP scycophants loose motions every day hence they are busy finding out new ""fault"" on Rahul as he is ths prime target of BJP who has only 32% mandate of people.",somebody find brand baniyan underwear modi shah wear congressman ever question type personal attaire leader bjp leader include 12th pas actress mantri also loud speaker question rahul personal thing bjp rattle see response ordinary people follow yatra also welcome arch crowd gather either side roads greet yatris give bjp scycophants loose motion every day hence busy find new fault rahul prime target bjp 32 mandate people,negative,criticism
ytComments_anbarasan paramasivam,"Smiriti Irani ji 
We people are asking for employment you are talking about sardar Patel statue. Come to senses",smiriti irani ji people ask employment talk sardar patel statue come sens,positive,
ytComments_One Plus,"RAHUL GANDHI WHEE EVER YOU GO
ASK LOCAL WOMEN 
WHAT WAS THE PRICE OF GAS CYLINDER

MIDDLE CLASS /LOWER MIDDLE CLASS PEOPLE 
ASK 
WHEN CONGRESS WAS IN POWER 
WHAT WAS THE PETROL /DIESEL PRICE 
&
ALSO TELL THEM WHO IS BEHIND THIS BRUTAL LOOT",rahul gandhi whee ever go ask local woman price gas cylinder middle class lower middle class people ask congress power petrol diesel price also tell behind brutal loot,negative,criticism
ytComments_KANAGASABAPATHI C,"The trend of politicians 
Now a days is centered 
Ones eating , dressing ,
and criticising ones customs & rights , but not
developing economy & unemployment crisis .
Shame .",trend politician day center eat dress criticise custom right not develop economy unemployment crisis shame,negative,criticism
ytComments_ANSAR. KP Ansar,Rahul Gandhi is definitely the future of India!  This clip reminded me of our freedom fighters who fought for our independence.  Narendra Modi has not even given us a press conference in the past 8 years or even done anything close to what Rahul Gandhi has done today! RG 😍🔥🇮🇳😍,rahul gandhi definitely future india clip remind freedom fighter fight independence narendra modi not even give u press conference past 8 year even anything close rahul gandhi today rg,negative,criticism
ytComments_Arivazhagan Subramaniam,SMITHI ..pl find out the cylinder ..mostly required in 2025,smithi pl find cylinder mostly required 2025,positive,
ytComments_Saleem Hashmi,"As usual BJP identify persons by their clothes, not by the character or machine they are carrying.",usual bjp identify person clothes not character machine carry,negative,criticism
ytComments_Victor Daniel,Rahul Gandhi's Bharat Jodo Yatra  should be a great success.,rahul gandhi bharat jodo yatra great success,positive,
ytComments_allahabadi टशन,Hindu Muslim sabka Ho Samman,hindu muslim sabka ho samman,positive,
ytComments_Shahaan S2,I can see the bjp is rattled after a long long time. But still it won’t be enough to defeat them. At least now no one can complain that there is no opposition,see bjp rattle long long time still wont enough defeat least complain opposition,negative,criticism
ytComments_Jithin Poliyedath Mohanan,"Cannot unite India with foreign t-shirt 👕🙄😳
Wow.. I am really amazed Amit shah🤔🤔🤔",not unite india foreign tshirt wow really amazed amit shah,negative,criticism
ytComments_Daily Stock Earner,"Iss, I also wore costly shoes and dresses but I was not lucky enough to be commented by such leaders. Very sad 😭",also wear costly shoe dress not lucky enough commented leader sad,negative,criticism
ytComments_Babu Pilli,Jai congress and all the best Rahul ji,jai congress best rahul ji,positive,
ytComments_Muneer M,"BJP says that Congress was in power for the last 70 years. If this is so, Rahul Gandhi can afford a T-shirt worth 40 thousand rupees as well. You don't worry Mr. Home Minister.",bjp say congress power last 70 year rahul gandhi afford tshirt worth 40 thousand rupee well dont worry mr home minister,negative,criticism
ytComments_Benjamin Salem,Beautiful country variety of culture.,beautiful country variety culture,positive,
ytComments_Bidush Kumar,The critics and their leaders can not walk or work or deliver only they know to speak.,critic leader not walk work deliver know speak,negative,criticism
ytComments_Pugal RK,Title is 5th day of Bharath Jodo yathra and showing the BJP speaches shameless BJPs slave your chanal,title 5th day bharath jodo yathra show bjp speaches shameless bjps slave chanal,negative,criticism
ytComments_Ajit Dhapre,"Very first attempt to meet church during Yatra and listen to adverse remark about …..
Is it Bharat Jodo ?",first attempt meet church yatra listen adverse remark bharat jodo,negative,criticism
ytComments_Arivazhagan Subramaniam,JUSTICE LOYA...R.I.P,justice loyarip,positive,
ytComments_NOOR-UL-ISLAM..,RAHUL GANDHI JI NEXT INDIAN PM 2024 IAM FROM TAMIL NADU,rahul gandhi ji next indian pm 2024 iam tamil nadu,positive,
ytComments_Irfan Harry,sir amit ji very funny your voice and bjp 😂😂😁😀,sir amit ji funny voice bjp,positive,
ytComments_Blandings Castle,"Italian Mummy,  Pappu and Pappi will be contesting from Kerala in 2004. 😜🤣",italian mummy pappu pappus contest kerala 2004,positive,
ytComments_Pugal RK,India today doesn’t have the drone camera to show full crowd or your boss BJP told not to show,india today doesnt drone camera show full crowd bos bjp tell not show,negative,criticism
ytComments_BIA,BJP scared of Rahul..😂,bjp scar rahul,negative,criticism
ytComments_M2 SPORTS,Sily souel is in frustration zone 🤣,sily souel frustration zone,negative,criticism
ytComments_Maheen Kannu,"pitty issues taken to divert public attn. let's discuss about unemployment, price raise, and let him try his best to unite India",pitty issue take divert public attn let discuss unemployment price raise let try best unite india,negative,criticism
ytComments_stephen thomas,"Pm modji is doing  world tour by spending crores of  Rupees which is  tax  payers money of indians, what benefit does INdia got ?  The end result is Indian Rupee sliding against Dollar which is now Rs 81,  and headed to Rs 100,  India as been waiting to become another Sree Lankha. Also unemployment and inflation on the rise. Moreover he is wearing a spex Made in ITALY which cost Rs 1.5 lakhs.",pm modji world tour spending crore rupees tax payer money indians benefit india get end result indian rupee slide dollar rs 81 head r 100 india wait become another sree lankha also unemployment inflation rise moreover wear spex make italy cost r 15 lakh,negative,criticism
ytComments_Y.DANIEL WILSON,What a shame on the  party which speaks about T shirt of Rajiv Gandhi but purchased national flag from China.,shame party speaks shirt rajiv gandhi purchase national flag china,negative,criticism
ytComments_nope nope,VERY NECESSARY TO REMOVE BJP FROM CENTRE.,necessary remove bjp centre,negative,criticism
ytComments_Jawahar Vasan,It will be interesting to know if PM is driving around in a forgiven car or a make in India product ?,interest know pm drive around forgiven car make india product,negative,criticism
ytComments_Ra,This Rani is dancing with cylinders for price rise...,rani dance cylinder price rise,negative,criticism
ytComments_Jyotirmoy Biswas,I skipped the Irani part. Thanks.,skip irani part thanks,negative,criticism
ytComments_SUPRIYO NATH,"Smriti ji, have courage to comment on fuel price.",smriti ji courage comment fuel price,negative,criticism
ytComments_RB,Why bjp doesn't address price rise unemployment.,bjp doesnt address price rise unemployment,negative,criticism
ytComments_arumugam manivel ramar,"Tamil nadu congress ordered 20000 T.Shirts  with photo of Rahul Gandhi From Tirupur i.4 plain T.Shirts were bought For Rahul Gandhi. When this govt ordered National  Flag from China ,where these Shaji and Smithi irani was there.Even he wears Rs 40000 worth T.Shirt,it was bought by him.Not donated by Adani or Ambani.",tamil nadu congress order 20000 tshirts photo rahul gandhi tirupur i4 plain tshirts buy rahul gandhi govt order national flag china shaji smithi irani thereeven wear rs 40000 worth tshirtit buy himnot donate adani ambani,negative,criticism
ytComments_Surender Adepu,I am not a political person but as a citizen i have a question. Congress could not integrate Kashmir in India in 70 years and what they want to jodo now. Just a stunt.,not political person citizen question congress could not integrate kashmir india 70 year want jodo stunt,negative,criticism
ytComments_Brijin Raj,Best of luck....RaGa,best luckraga,positive,
ytComments_N S,Real face of BJP is slowing emerging out.,real face bjp slow emerge,negative,criticism
ytComments_Semradangla Longchar,Bjp Great shame😂🙏😂😂😂,bjp great shame,negative,criticism
ytComments_Abdul Hameed,At the end this yatra change indian politics,end yatra change indian politics,positive,
ytComments_Ramesh Vairavasundaram,"Death merchants 56"" kedi and bald head Janta.",death merchant 56 kedi bald head janta,positive,
ytComments_Rj,"Why is Rahul Gandhi doing Judo Yatra?

 Jalal Tricolor:
 To save India from BJP..

 So is there a trip to BJP-ruled UP?

 Jalal Tricolor:
 There is..

 how many days

 Jalal Tricolor:
 One day across the border

 Through Gujarat?

 Jalal tricolor
 No..

 Also in Madhya Pradesh?

 Jalal Tricolor:
 A day and a half..

 Also in Kerala..?

 Jalal Tricolor:
 Nineteen days..

 Kerala is ruled by BJP..?

 Jalal Tricolor:
 No.. Left Front..

 And why this journey..?

 Jalal Tricolor:
 It is to defend BJP..

 So BJP  Shouldn't the procession go through the ruling states?

 Jalal Tricolor:
 And then..

 What then..?🙄

 Jalal Tricolor:
 If the march goes through BJP ruled states...😓😓

 If you go..?

 Jalal Trivarnam: All those in the march will join the BJP till the end of the march. 😬😬

 Ah..
 😁😆😂
Courtesy -sini",rahul gandhi judo yatra jalal tricolor save india bjp trip bjpruled jalal tricolor many day jalal tricolor day across border gujarat jalal tricolor also madhya pradesh jalal tricolor day half also kerala jalal tricolor nineteen day kerala rule bjp jalal tricolor leave front journey jalal tricolor defend bjp bjp shouldnt procession go rule state jalal tricolor jalal tricolor march go bjp ruled state go jalal trivarnam march join bjp till end march ah courtesy sini,negative,criticism
ytComments_TechieFluent,may be that tshirt was gifted by a fan.,may tshirt gift fan,positive,
ytComments_philips mathew,Meaningless allegations,meaningless allegation,negative,criticism
ytComments_Pugal RK,BJP started to fear of Rahul.that is a success if This Yathra and Rahul,bjp start fear rahulthat success yathra rahul,negative,criticism
ytComments_Ashwani Sharma,Great initiative all the best to Rahul and his entire team.,great initiative best rahul entire team,positive,
ytComments_Tej Pratap,The movement for rejuvenation of the hope of deprived sections of society,movement rejuvenation hope deprive section society,positive,
ytComments_Bhavesh bhavesh,Greatest work by Rahul Gandhi 🙏🙏🙏,great work rahul gandhi,positive,
ytComments_Paro Komol,It was much needed step for India raised by Rahul Gandhi... Bharat Jodo Yatra.. Lots of best wishesh for RaGa and all others with him...,much need step india raise rahul gandhi bharat jodo yatra lot best wishesh raga others,positive,
ytComments_Gopal Pareek,JAI CONGRESS,jai congress,positive,
ytComments_John David,What an unprecedented confidence is appearing in his eyes. May you live long Rahul Saheb. Godi Media and Andhbhakts will also be definitely inspired as afterall they are also first human being.,unprecedented confidence appear eye may live long rahul saheb godi medium andhbhakts also definitely inspire afterall also first human,positive,
ytComments_Dude,"India, which was destroyed by BJP with communalism, now needs a re-independence",india destroy bjp communalism need reindependence,negative,criticism
ytComments_Charu Rane,Rahul Gandhi honest politician and sensible leader,rahul gandhi honest politician sensible leader,positive,
ytComments_Shabbirkhan Jariwala,A heartly salute to ur perfect and justice news every time congratulations and God bless u all.....,heartly salute ur perfect justice news every time congratulation god bless u,positive,
ytComments_ZAHEER AHMED PATEL,The most Decent and Graceful News Reader presents the news with utmost soberness. Superb.,decent graceful news reader present news utmost soberness superb,positive,
ytComments_shinto kurian,Fight was between wolf and sheep. But the blood has been drank by a clever fox.,fight wolf sheep blood drank clever fox,positive,
ytComments_Shabina Peer,LET  STITCH  NNNNNNN  UNITE  ....with BHARAT  JODO  YATRA......,let stitch nnnnnnn unite bharat jodo yatra,positive,
ytComments_Rifaqat Khan,PRIYANKA GANDHI ZINDABAD BHARAT JODO YATRA ZINDABAD MEHGAI HATAO DESH BACHAO GST KAM KARO MSP LAGU KARO JAI JAVAN JAI KISAN,priyanka gandhi zindabad bharat jodo yatra zindabad mehgai hatao desh bachao gst kam karo msp lagu karo jai javan jai kisan,positive,
ytComments_Saheb Yadav,We support Congress..,support congress,positive,
ytComments_LALIT M,"A Prime Minister should be:
  •  A Good & Efficient.
  •  Human being.
  •  Two and Only Two Qualities.
  •  Are Necessary and Sufficient.
  •  To be a Prime Minister:

 Goodness:
  •  Must be a good and loving human being.
  •  With all his Heart, Mind and Soul.
  •  Saying, Good to be Good.
  •  Realistic and Dynamic Visionary.

 Efficiency:
  •  Must be Healthy, Educated and Trained.
  •  Cultured and Loyal, human being.
  •  Able to perform his Work and Duties.
  •  Honestly and Efficiently.
  •  Scholar.
  •  Of Economics.
  •  Of Foreign Affairs.
  •  Of Perfectly Balanced.
  •  Relationships.
  •  Between or Among.
  •  The Center and The States.

A Prime",prime minister good efficient human two two quality necessary sufficient prime minister goodness must good love human heart mind soul say good good realistic dynamic visionary efficiency must healthy educate trained culture loyal human able perform work duty honestly efficiently scholar economics foreign affair perfectly balance relationship among center state prime,positive,
ytComments_VIVEK PAL,Rahul honest leader h,rahul honest leader h,positive,
ytComments_Mdfarhan Sheikh,"I am with you sir,... I support u this mission...",sir support u mission,positive,
ytComments_chandrakant jadhav,Congratulations to Rahul Gandhi vote for congress party,congratulation rahul gandhi vote congress party,positive,
ytComments_Sudhir kumar,"In 1660, for some trifling resistance to the imposition of a capitation tax, Aurangzeb took occasion to demolish the principal Shiwalas, and constructed Masjids or mosques with the same materials and upon the same foundations, leaving portions of the ancient walls exposed here and there, as evidences of the indignity to which the Hindoo religion had been subjected.”",1660 trifle resistance imposition capitation tax aurangzeb take occasion demolish principal shiwalas construct masjid mosque material upon foundation leave portion ancient wall expose evidence indignity hindoo religion subject,negative,criticism
ytComments_Rajshanti1964 Shanti,"BJP should see itself about saling the institutions and corruptions. However, parties ha on no uh .",bjp see saling institution corruption however party ha uh,negative,criticism
ytComments_Wasim Malik,Great leader of India educated leader! I am with Rahul Gandhi,great leader india educate leader rahul gandhi,positive,
ytComments_alice c,"Bharat Jodo Yathra shocking even those who have done chariot journeys of hatred, hatred and communal riots.. 👍🇮🇳",bharat jodo yathra shock even chariot journey hatred hatred communal riot,negative,criticism
ytComments_Thambi nelloore,India flows with Rahul. Time has come for the finals.. 👍👍👍Great people participation. Save Nation rally 👍👍👍Counting the Cause of saving the Nation. What is spending is nothing.. 🙏🙏🙏👍,india flow rahul time come final great people participation save nation rally count cause save nation spending nothing,positive,
ytComments_Rifaqat Khan,TEJASVI YADAV ZINDABAD RJD ZINDABAD MAHA GATHBANDHAN ZINDABAD  MEHGAI HATAO DESH BACHAO JAI JAVAN JAI KISAN,tejasvi yadav zindabad rjd zindabad maha gathbandhan zindabad mehgai hatao desh bachao jai javan jai kisan,positive,
ytComments_Edward Francis,Why BJP failed to understand even if there's bribery the beneficiary is general public,bjp fail understand even theres bribery beneficiary general public,negative,criticism
ytComments_Indian,NOW FOR ANOTHER TEN DAYS PEOPLE OF THIS COUNTRY WILL DISCUSS GYANWAPI. THEY ARE LEAST BOTHERED ABOUT MANHANGAI AND BEROJGARI,another ten day people country discuss gyanwapi least bothered manhangai berojgari,negative,criticism
ytComments_Mickey Singh,Hahahaha....hahaha...ha.... The BJP is so weak in their defence1,hahahahahahahaha bjp weak defence1,negative,criticism
ytComments_Shahaji Khot,"ABI  NAHI TO KABHI NAHI, DESH TUTNE KI KAGAR PE, ISLIYE BHARAT JODO, DESH KI JATI-JATI ME TAKRAV KA MAHOL, NEEV KI KAMJORI,  ISLIYE  BHARATH JODI, GARIBI, BEROJGARI, BHRASHTACHARI, SAGA -DUGA KA RAJYA, 1/2 HI RAJYA KA UDHHAR,BAKI KANGAL ISLIYE BHARATH JODO, AB NAYA BHARATH. BJP MUKTH BHARATH.",abi nahi kabhi nahi desh tutne ki kagar pe isliye bharat jodo desh ki jatijati takrav ka mahol neev ki kamjori isliye bharath jodi garibi berojgari bhrashtachari saga duga ka rajya 12 hi rajya ka udhharbaki kangal isliye bharath jodo ab naya bharath bjp mukth bharath,positive,
ytComments_Adeeba Mazhar Ayesha Zaki,"We are with you
Rahul Gandhi zindabad",rahul gandhi zindabad,positive,
ytComments_Rifaqat Khan,HOME  MINISTER  SAHAB ZINDABAD GUJRAT KI BILQEES BANO KO INSAAF DILAO AJAY MISHRA KO GIRAFTAR KARO LAKHIMPUR KE SHAHEED KISANO KO INSAAF DILAO  AKHAND BHARAT MERA BHARAT MAHAN,home minister sahab zindabad gujrat ki bilqees bano ko insaaf dilao ajay mishra ko giraftar karo lakhimpur ke shaheed kisano ko insaaf dilao akhand bharat mera bharat mahan,negative,criticism
ytComments_Shamim Ahmad,"APP ke har neta Imandar ,mehnati ,rastarwadi ,jantna ke hitashi ,inhi ke leadership me desh devoloped countary ban sakta he .Inka har worker sirf Janta aur desh hit me he. Jai Hind.",app ke har neta imandar mehnati rastarwadi jantna ke hitashi inhi ke leadership desh devoloped countary ban sakta inka har worker sirf janta aur desh hit jai hind,negative,criticism
ytComments_Rifaqat Khan,PM SAHAB ZINDABAD GUJRAT KI BILQEES BANO KO INSAAF DILAO AVEM ANKITA KO INSAAF DILAO  JAI JAVAN JAI KISAN JAI ANUSANDHAN,pm sahab zindabad gujrat ki bilqees bano ko insaaf dilao avem ankita ko insaaf dilao jai javan jai kisan jai anusandhan,positive,
ytComments_M Jadeja,JAY  HIND 🙏 🙏,jay hind,positive,
ytComments_HemRaaz Chandna,Best news channel,best news channel,positive,
ytComments_Shubhada P,Support Bharat Jodo Yatra for better life which we enjoyed for 70 years till 2014 irrespective of any party that ruled with secular fabric as the land belongs to every citizen born here!,support bharat jodo yatra well life enjoy 70 year till 2014 irrespective party rule secular fabric land belongs every citizen born,positive,
ytComments_Wasim Khan,Rahul Gandhi is great person for India so much people love him,rahul gandhi great person india much people love,positive,
ytComments_Pinku Chakraborty,Rahul you are inspiring... Rocking...you can only save india.. Keep going.. We are with u..,rahul inspire rockingyou save india keep go u,positive,
ytComments_Anil Kumar,"Pls consider these following point also.
 1. Walking for better future.
2. Walking for safety of our nation.
3. Walking for safety from religious enemy.
4. Walking for better education.
5. Walking for better healthcare.
6. Walking for real infrastructure.
7. Walking for job security.
 8. Walking for high inflation.
9. Walking for good brotherhood.
Etc.",pls consider follow point also 1 walk good future 2 walk safety nation 3 walk safety religious enemy 4 walking good education 5 walk good healthcare 6 walk real infrastructure 7 walk job security 8 walk high inflation 9 walk good brotherhood etc,positive,
ytComments_Syed Farid Ahmad,BHARAT JODO DESH JODO VANDEMATARAM JAI CONGRESS JAI RAHUL GANDHI,bharat jodo desh jodo vandemataram jai congress jai rahul gandhi,positive,
ytComments_N,"RG classy kind and humble leader.
India needs such a PM.",rg classy kind humble leader india need pm,positive,
ytComments_kisan Desi poultry farm,Aj se 30 _40 sal pahle congress government me logon ko asani se government job mil jati thi ab to job milna bhagwan se milne k brabar hai,aj se 30 40 sal pahle congress government logon ko asani se government job mil jati thi ab job milna bhagwan se milne k brabar hai,negative,criticism
ytComments_ANSAR. KP Ansar,Rahul Gandhi is definitely the future of India!  This clip reminded me of our freedom fighters who fought for our independence.  Narendra Modi has not even given us a press conference in the past 8 years or even done anything close to what Rahul Gandhi has done today! RG 😍🔥🇮🇳😍,rahul gandhi definitely future india clip remind freedom fighter fight independence narendra modi not even give u press conference past 8 year even anything close rahul gandhi today rg,negative,
ytComments_AHumanitarian Masum,Let's Unite and raise your voice 🗣️ against Unemployment Inflation Injustice and Hate. Live for Humanity spread only love 🕊️. Jai Hind 🙏,let unite raise voice unemployment inflation injustice hate live humanity spread love jai hind,negative,criticism
ytComments_Aditya Raje,This yatra will be historical .Jai Congress. Rahul Gandhi is absolutely perfect leader to lead India,yatra historical jai congress rahul gandhi absolutely perfect leader lead india,positive,
ytComments_ZEESHAN CHOUDHARY,Only Gem which will light India again.,gem light india,positive,
ytComments_meena devi,Jai jatra . Bharat Joro Jatra ! We are not able to join but our heart and mind walking with the Bharat Joro Jatra . Jai ho,jai jatra bharat joro jatra not able join heart mind walk bharat joro jatra jai ho,positive,
ytComments_Indian Public Reaction✔,That's great,thats great,positive,
ytComments_Good Habbit,Good Rahul is great and honest leader,good rahul great honest leader,positive,
ytComments_Spread the Truth🌹,We should give Rahul Gandhi a chance. He is a sincere leader. He will do a lot for the people. Let's give him a chance,give rahul gandhi chance sincere leader lot people let give chance,positive,
ytComments_U. S Malik,"JIS DESH KA CHAWKIDAR JHOOTHA HO VO DESH TOOTE GA, ESI LIYE AB  BHARAT JODO YATRRA ZARURI HAI",ji desh ka chawkidar jhootha ho vo desh toote ga esi liye ab bharat jodo yatrra zaruri hai,negative,criticism
ytComments_Rakesh Gupta,"Rahul will be world leader mahata Gandhi ,, vivekanand.",rahul world leader mahata gandhi vivekanand,positive,
ytComments_Kapil Sharma,2024 ka pm only Mr Rahul Gandhi,2024 ka pm mr rahul gandhi,positive,
ytComments_Mohammed Shoukath Zain,R ji doing  good  work for  nation,r ji good work nation,positive,
ytComments_Md Ahtesham Mallick,"The Bharat Jodo Yatra of congress with the leadership of Rahul Gandhi is very good for the United India🇮🇳, unity of india 🇮🇳, again",bharat jodo yatra congress leadership rahul gandhi good united india unity india,positive,
ytComments_Kapil Sharma,Congress party zindabad,congress party zindabad,positive,
ytComments_Ss,Yes we need unity more than ever. Jai Hind,yes need unity ever jai hind,positive,
ytComments_Awesome,"*Wish a great grand success to ""Bharath Jodo Yatra"" Rahulji.  *Jai Kisan Jai Jawan Jai Samvidhan 🙏 Bring back Congress to restore democracy secularism journalism and Samvidhan and thus save India from goons, gundas, hate mongers and samskari rapists 🇮🇳 👏*",wish great grand success bharath jodo yatra rahulji jai kisan jai jawan jai samvidhan bring back congress restore democracy secularism journalism samvidhan thus save india goon gundas hate monger samskari rapist,positive,
ytComments_Assisi Athani,Its Incredible moment. Big Salute to New Gen Leader.. Rahulji is a man of refined politics.. We are looking forward,incredible moment big salute new gen leader rahulji man refine politics look forward,positive,
ytComments_Mr. K. A *,Congratulations,congratulation,positive,
ytComments_Mobin Shaikh,We wish Rahul will be next pm people support,wish rahul next pm people support,positive,
ytComments_Susil kumar,"Yesss we want job , not jumlaa",yes want job not jumlaa,positive,
ytComments_fgerard,"good initiative, please save our country rahulji.. congrats..",good initiative please save country rahulji congrats,positive,
ytComments_Aisha Panjri,very Good job ... Rahul Sir ..,good job rahul sir,positive,
ytComments_Ami Tiwari,Very good job,good job,positive,
ytComments_Charu Rane,Rahul Gandhi honest politician and sensible leader,rahul gandhi honest politician sensible leader,positive,
ytComments_Aswin Raj,This is a greatest time to rahul  because he will be walk for 150 days to know about peoples problems i will support rahulji 💪💪💪,great time rahul walk 150 day know people problem support rahulji,positive,
