username,orig_sentence,cleaned_sentence,category,sub-category
tweets_Trendsetting123,"@anushakunmittal @Pawankhera @RShivshankar @navikakumar @PadmajaJoshi @_pallavighosh @INCTharoorian @ShashiTharoor @PriyaaReturnz @narendramodi @bole_bharat @FreedaNicholas @mynameswatik @adarshdevaraj And When I saw the previous clip of the #BharatJodoYatra , I was reminded of the scene from the film Benhur

Take a look

Shame #GodiMedia for being silent on #BharatJodoYatra 
We will fight it out without u

@SujataIndia1st @RaniPadmaK @Jairam_Ramesh @GouravVallabh @aayeff1 https://t.co/hXEvRgOtqU",saw previous clip remind scene film benhur take look shame silent fight without u,positive,
tweets_SevadalKL,"Another interesting visual a senior citizens joined the #BharatJodoYatra only for the sake of our country and Shri @RahulGandhi 
@RGWayanadOffice https://t.co/Iaef9eYTmd",another interesting visual senior citizen join sake country shri,positive,
tweets_nmleo1,"#thoughtleadership: #BharatJodoYatra #KartavyaPath Se-III
I want to strengthen the atmosphere of #Unity , I want to free people from #hatred. Resentment should go..., there should be no rivalry..., it should be removed from the entire country- @narendramodi 20Nov2011
@RahulGandhi https://t.co/X0N1UgWo9t",seiii want strengthen atmosphere want free people resentment go rivalry remove entire country 20nov2011,positive,
tweets_Akhil_Mdass,"Spread love
#BharatJodoYatra .",spread love,positive,
tweets_SevadalKPT,"Glimpse’s from Kerala , the #BharatJodoYatra in a single frame.

#BharatJodoYatra https://t.co/QgKgIwnSwc",glimpse kerala single frame,positive,
tweets_kcjoseph99,@vdsatheesan #BharatJodoYatra is the biggest massive people’s movement Kerala has ever seen,big massive people movement kerala ever see,positive,
tweets_ChowdharyDeepak,"@gurdeepsappal It may also be possible that an ambulance is being deliberately sent on the route of the #BharatJodoYatra, an ambulance may get stuck in this yatra and this yatra can be maligned! BJP and opponents can stoop to any extent.",may also possible ambulance deliberately send route ambulance may get stuck yatra yatra malign bjp opponent stoop extent,negative,hate
tweets_NSUICG,"Day 6 of #BharatJodoYatra began from Kazhakkoottam in the outskirts of Thiruvananthapuram. The padayatra has just reached the morning break point at Mamom near Attingal, where there will be a number of interactions with different groups. https://t.co/sKKhQv9WJr",day 6 begin kazhakkoottam outskirt thiruvananthapuram padayatra reach morning break point mamom near attingal number interaction different group,positive,
tweets_Arshi_E_Sid,Some terrible planning must be cooking in the BJP quarters to counter the #BharatJodoYatra,terrible planning must cook bjp quarter counter,negative,hate
tweets_sanjukta,"Day 6 of #BharatJodoYatra. T-shirt ho gaya, Hindu-Muslim ho gaya. Sorry, this time it was Hindu-Christians. BJP came up with anything new yet? Cost of @RahulGandhi's shoes maybe? @amitmalviya running out of ideas in just 6 days?",day 6 tshirt ho gaya hindumuslim ho gaya sorry time hinduchristians bjp come anything new yet cost shoe maybe run idea 6 day,negative,critisism
tweets__Prashanth_23,"There is a tide of emotions,
Patriotism is countless!

#BharatJodoYatra 🇮🇳 https://t.co/Q9YulKc5V8",tide emotion patriotism countless,positive,
tweets_achi_suja,"Nice to see many journalists , activists and neutralists having  so much clarity on #BharatJodoYatra. Not even congressiz are defending RG like this. Must watch .👏❤️🔥
#RahulGandhi
#Rahul_Gandhi https://t.co/vBGPnOXi0o",nice see many journalist activists neutralists much clarity not even congressiz defend rg like must watch,positive,
tweets_pitchaijohn1961,"Sanghis got burnt.
It is very funny to see Sanghis jealous.

Rahul's yatra is successful even in very early stage. 

By end of Yatra, BJPians will be out of steam.

Congress's victory is confirmed now in 2024.

Rahul's Yatra is uniting India.
Rahul's yatra wins.
#BharatJodoYatra https://t.co/lMNPgjbUtx",sanghis get burnt funny see sanghis jealous rahuls yatra successful even early stage end yatra bjpians steam congress victory confirm 2024 rahuls yatra uniting india rahuls yatra win,negative,hate
tweets_politic002,"📢📢📢

Looking for *#BharatJodoYatra 🇮🇳* exclusive content at one place?🤔

Tap on the link and join the Bharat Jodo Yatra Official Telegram Channel to access and amplify the historic moments from Bharat Jodo Yatra with Rahul Gandhi.

Subscribe Now 👉👉 : https://t.co/Q0n22N89JL",look exclusive content place tap link join bharat jodo yatra official telegram channel access amplify historic moment bharat jodo yatra rahul gandhi subscribe,positive,
tweets_NSUIDelhi,"The enthusiasm of all the Padyatris &amp; the people of Kerala has been exceptional. 
Early morning scenes from Thiruvananthapuram.
#BharatJodoYatra 🇮🇳 https://t.co/0RpbAL17Rm",enthusiasm padyatris people kerala exceptional early morning scene thiruvananthapuram,positive,
tweets_AI_Neurologist,"@INCIndia This #BharatJodoYatra has taken an emotional turn.

My eyes are wet while typing this reply. 🥺🥲",take emotional turn eye wet type reply,positive,
tweets_madshumanbeing1,"Shri @GauravPandhi caught up with this girl during #BharatJodoYatra and offered help,she said
""Ladki Hoon Lad Sakti Hoon""
27 years old Parvati Sahu from Chhattisgarh decided last Sunday she should join #BharatJodoYatra and now she is traveling on her own. https://t.co/qDdyRRTPKX",shri catch girl offer helpshe say ladki hoon lad sakti hoon 27 year old parvati sahu chhattisgarh decide last sunday join travel,positive,
tweets_nrynshny,"“Some people set fires wherever they go, and have mastered the art of playing the burn victim.”
#SteveMaraboli ⁦@sambitswaraj⁩ #BharatJodoYatra https://t.co/aMfoVr3uqQ",people set fire wherever go mastered art play burn victim,positive,
tweets_Mohan08417213,"This is the way we should join to unite India. 
#BharatJodoYatra , @INCIndia https://t.co/SRzJyXaCYw",way join unite india,positive,
tweets_AlluKaza,"@rejitweets commies will rule kerala for next 10 years,

and BJP will rule india for next 30 years,

pappu leads congres there is no come back,

#BharatJodoYatra Is To Secure Pappus Prime Minister Seat Of Wayanad",commie rule kerala next 10 year bjp rule india next 30 year pappu lead congres come back secure pappus prime minister seat wayanad,negative,hate
tweets_TWTW_Official,"#WATCH: How far will the #BharatJodoYatra take @RahulGandhi in his political career? All this and much more with @Broacha_Cyrus Ft. @kunal_vijayakar @mohitmahale on @CNNnews18 via @YouTube 
LINK: https://t.co/dNlZXSPhtK https://t.co/02TZmt07Q7",far take political career much ft via link,positive,
tweets_BhalkeMadhav,"@RahulGandhi is Congress
Congress is secular 
Secular is Bharat
Bharat is India. 
#BharatJodoYatra https://t.co/oTSD8IYM5A",congress congress secular secular bharat bharat india,positive,
tweets_ShashiK_Sharma,@INCIndia #Model  - unite #India with love and affection. Take whole country forward with holistic development and welfare of all section of the society.  #BharatJodoYatra @RahulGandhi ji @ashokgehlot51 ji #MustReadEditorial https://t.co/9SslWiLLgY,unite love affection take whole country forward holistic development welfare section society ji ji,positive,
tweets_SukantaPhdNou,"Great Respect &amp; Honor for A Person showering unbelievable Love &amp; Kindness - He is Rahul Gandhi Sir!
#BharatJodoYatra  @RahulGandhi https://t.co/nc3DYs9Nlu",great respect honor person shower unbelievable love kindness rahul gandhi sir,positive,
tweets_tehijacob,"Modi Ji called himself ""chai wala,"" but nobody saw him having chai with aam janta. 

Rahul Gandhi is right now winning every heart by meeting people over a cup of chai. 

#BharatJodoYatra #CongressParty #BJPFailsIndia #BJPfails #ModiFailedIndia",modi ji call chai wala nobody saw chai aam janta rahul gandhi right win every heart meeting people cup chai,positive,
tweets_seethakkaMLA,"🔥Some say he hugged a Muslim but I say he hugged a thanked old Aged mother with love and gave her water for joining him in #BharatJodoYatra..

@RahulGandhi @priyankagandhi @digvijaya_28 @Jairam_Ramesh @SachinAhimsa @Pawankhera #RahulGandhi https://t.co/5BIMQtipv8",say hugged muslim say hug thanked old age mother love give water joining,positive,
tweets_NageshraoH,"@drthomasisaac Because RSS has the highest number of shakhas in Kerala.
Give me one reason why you cannot support, if not join, #BharatJodoYatra wholeheartedly?
What is your agenda?
We are constrained to ask the question is your agenda in sync with that of BJP/RSS?",r high number shakhas kerala give reason not support not join wholeheartedly agenda constrain ask question agenda sync bjprss,positive,
tweets_thefirstindia,"#FIJaipur | ‘BJP is shocked by Bharat Jodo Yatra, making strange statements’

READ:https://t.co/oDqpLPGm9A

#Rajasthan #Jaipur #Alwar #BharatJodoYatra #JitendraSingh @RahulGandhi  @INCRajasthan @INCIndia https://t.co/8bIQ24IvHt",bjp shock bharat jodo yatra make strange statement read,positive,
tweets_Xenohadi,"RT @ani_digital: Congress' Bharat Jodo Yatra enters 7th day

Read @ANI Story | https://t.co/DNNAjuD6Dn
#Congress #BharatJodoYatra #RahulGandhi #LoksabhaElection2024 https://t.co/5NBYNExxAG @PMOIndia #xenoh",rt congress bharat jodo yatra enters 7th day read story,positive,
tweets_BabuKhan123456,"Chronology samjhye :
Bharat Jodo Yatra in Kerala: 18 days 
And Biggest state of India,UP : 2 days 
😅🤷‍♂️
I'm just saying it no politics here
#BharatJodoYatra",chronology samjhye bharat jodo yatra kerala 18 day big state indiaup 2 day im say politics,positive,
tweets_sksaran2163,#BharatJodoYatra @bindsssInvestor @DoctorAjayita Forever young Forever love seeker. https://t.co/OUOsC927qO,forever young forever love seeker,positive,
tweets_madhyamam_eng,Third day of Kerala leg of Bharat Jodo Yatra began with strong turnout #Kerala #congress #rahulgandhi #BharatJodoYatra https://t.co/tCkFp2RghC,third day kerala leg bharat jodo yatra begin strong turnout,positive,
tweets_SevadalKL,"@GauravPandhi is getting inspiring stories for everyone to incorporate this time a Retired 60 year old all the way from Haryana walking for a better and safe India for others with his luggage and health issues , this is #BharatJodoYatra 
@Jairam_Ramesh 
@RGWayanadOffice https://t.co/TKXf4ZBE5y",get inspire story everyone incorporate time retire 60 year old way haryana walk good safe india others luggage health issue,positive,
tweets_NewIndianXpress,"The #RSS has lashed out at Congress' #BharatJodoYatra and said that if the elements engaged in unifying India are based on hatred then the exercise would look like a political gimmick.

https://t.co/b84kL3Ap76",lashed congress say element engage unify india base hatred exercise would look like political gimmick,positive,
tweets_VinayaKantRai2,"#BharatJodoYatra CHANGING CLOTHES THREE TIMES A DAY
IS MUCH BETTER
THAN 
DOING SAJDA BEFORE HIGH COMMAND 
AT LEAST 3 TIMES A DAY
OTHERWISE FEAR OF BEING IGNORED BY HC
@narendramodi_in 
@AmitShah 
@myogiadityanath https://t.co/2DxEZwQ2t3",change clothes three time day much well sajda high command least 3 time day otherwise fear ignore hc,negative,critisism
tweets_KishanTanwar10,"@INCIndia @RahulGandhi Jai Congress Vijay Congress
#BharatJodoYatra",jai congress vijay congress,positive,
tweets_KishanTanwar10,"@INCIndia Congress Party Jindabad
#BharatJodoYatra",congress party jindabad,positive,
tweets_Trendsetting123,"@anushakunmittal @Pawankhera @RShivshankar @navikakumar @PadmajaJoshi @_pallavighosh @INCTharoorian @ShashiTharoor @PriyaaReturnz @narendramodi @bole_bharat @FreedaNicholas Shameless #GodiMedia 
U can Stew in your hate, Rahul is a #Trendsetter, he does not need a spineless, sold-out Media like u people

But remember what will u answer your people when they ask u, what did u do to save this country

#BharatJodoYatra 

@mynameswatik
@adarshdevaraj https://t.co/STCp2BziNg",shameless u stew hate rahul not need spineless soldout medium like u people remember u answer people ask u u save country,negative,critisism
tweets_M_author,"They think wishfully a chanced pic with pappu byaiya might change their life. They don't know it's like a dream that will never be fulfilled. Pappuji won't recognize them after yatra and INC is already helpless. 
#Truth 
#TruthOrDare 
#BharatJodoYatra https://t.co/AqZac0xEd9",think wishfully chance pic pappu byaiya might change life dont know like dream never fulfil pappuji wont recognize yatra inc already helpless,negative,critisism
tweets_KibaVenisha,"Their love and trust keep the Padyatris motivated to fight for an inclusive Bharat. ❤️
#BharatJodoYatra 🇮🇳 https://t.co/06NlmviPRN",love trust keep padyatris motivated fight inclusive bharat,positive,
tweets_Appledo13569910,lol. this news channel is showing this chamgaadar more than rg and #BharatJodoYatra ... bjp has its bets placed on this chamgaadar for sure in upcoming gujarat election to get the opposition votes split by him. 😝 https://t.co/M0hnYI8Gf8,lol news channel show chamgaadar rg bjp bet place chamgaadar sure upcoming gujarat election get opposition vote split,negative,hate
tweets_NavjyotiPatnaik,"“Happiness is when what you think, what you say, and what you do are in harmony.”
~ Mahatma Gandhi

Let’s unite India from Kashmir to Kanyakumari to make her every person happy! #BharatJodoYatra https://t.co/aJmd5K18Vh",happiness think say harmony mahatma gandhi let unite india kashmir kanyakumari make every person happy,positive,
tweets_Mohan08417213,"@AamAadmiParty 's misinformation, fake propaganda out of public funds, #Curruption, communal hate politics.. R in the public domain. Farce, inefficiencies can't be wrapped. It has to come out. 
#BharatJodoYatra , @RahulGandhi . https://t.co/eEsUxIkFFz https://t.co/mrKhekHREL",misinformation fake propaganda public fund communal hate politics r public domain farce inefficiency cant wrap come,positive,
tweets_MDKareemWadi,"With every step we take in #BharatJodoYatra, India moves forward with us. Step by step.. we get closer to development, progress, growth, &amp; a peaceful &amp; glorious nation. https://t.co/z6pHj9tTEW",every step take india move forward u step step get close development progress growth peaceful glorious nation,positive,
tweets_vinushareddyb,"After 145 days @INCIndia will be further weakened
Even after 145 years @RSSorg will work for Bahrat mata with support of patriots
Shame on #Rahulgandhi 
#BharatJodoYatra is a sham https://t.co/vjYR3Y1WXs",145 day weaken even 145 year work bahrat mata support patriot shame sham,positive,
tweets_SevadalMB,"Another inspiring and motivating story of 27 year old Chhattisgarh women Parvati, walking all alone , Shri @GauravPandhi caught up with her during #BharatJodoYatra When he offered help, she said “ ladki hu lad sakti hu”

Salute to her spirit👍🙏❤️ https://t.co/FgvEPdkx5L",another inspire motivate story 27 year old chhattisgarh woman parvati walk alone shri caught offer help say ladki hu lad sakti hu salute spirit,positive,
tweets_KJSingh12518759,"#Modi is a very petty politician, a street urchin, nothing more.

#BharatJodoYatra 
#भारत_जोड़ो_यात्रा https://t.co/6EEEvJrS61 https://t.co/vZEUZBhP3y",petty politician street urchin nothing,negative,hate
tweets_logical_INC,"Hello BJP Kerala, since you guys master in forming government without having majority can please make k e in Kerala too just for next 15 days

#BharatJodoYatra is from Kanyakumari to Kashmir by foot (not by auto rickshaw) so it take 20 dyas to cross kerala. https://t.co/o2c5A9Cml8",hello bjp kerala since guy master form government without majority please make k e kerala next 15 day kanyakumari kashmir foot not auto rickshaw take 20 dyas cross kerala,negative,hate
tweets_Arasu2021,"@Pawankhera @SupriyaShrinate @Jairam_Ramesh @INCIndia
@srinivasiyc

Can you please take action on this man? He's deliberately undermining Rahul Gandhi and the #BharatJodoYatra for the last few days and endorsing even fake news like the one from @smritiirani

#EnoughIsEnough https://t.co/503MZKJEkK",please take action man hes deliberately undermining rahul gandhi last day endorse even fake news like,positive,
tweets_ShrayesRM,"From Cycle Yatra to Padyatra, the love and support of the people remain intact.""

#YatraStories 
#BharatJodoYatra 🇮🇳",cycle yatra padyatra love support people remain intact,positive,
tweets_DrAMSinghvi,"Extreme trads are like extreme left loonies. There is a global left right full circle spectrum Hitler = Mussolini = Stalin = Mao. That's what makes Indians inherently unique, they don't tolerate, they integrate. #BharatJodoYatra",extreme trad like extreme leave loony global leave right full circle spectrum hitler mussolini stalin mao thats make indian inherently unique dont tolerate integrate,positive,
tweets_teegeekay62,@GauravPandhi @RahulGandhi @priyankagandhi Awesome - the determination. So heartening to see so many youngsters during this #BharatJodoYatra.  Gives a lot of hope that all is not lost yet.,awesome determination hearten see many youngster give lot hope not lose yet,positive,
tweets_hjmainuddin,Met KPCC minority state president and Mlc  Janab k @AbdulJabbarINC ji at his residence Davangere and  Received blessings and guidance Along with District Waqf board chairman Mohammad siraj sab  Jawahar Bal Manch Jawahar Bal Manch - Karnataka #BharatJodoBaccheJodo #BharatJodoYatra https://t.co/h1nJdaz7YO,meet kpcc minority state president mlc janab k ji residence davangere receive blessing guidance along district waqf board chairman mohammad siraj sab jawahar bal manch jawahar bal manch karnataka,positive,
tweets_DrAMSinghvi,I don't understand this obsession with civilizational dating. The world is an immigration cycle started from Africa. India is a civilization itself &amp; all who integrated are Bhartiyas despite their own diverse practises. That is unity in diversity. #BharatJodoYatra,dont understand obsession civilizational date world immigration cycle start africa india civilization integrate bhartiyas despite diverse practises unity diversity,positive,
tweets_Mohan08417213,"The stooges,,@AamAadmiParty planted n nurtured by @BJP4India , @RSSorg   definitely is equal to or worse, which have been proved. Ur lies, jhumle, farce, fraudulent means tormented India.
#BharatJodoYatra cementing, uniting India. 
@RahulGandhi , @INCIndia . https://t.co/eEsUxIkFFz https://t.co/ibWKPUM7bW",stooge plant n nurtured definitely equal worse prove ur lie jhumle farce fraudulent mean torment india cement uniting india,negative,critisism
tweets_rg_0452,#BharatJodoYatra #BharatJodoBegins #bharatjodo #rahulgandhi #CongressNuKaamBoleChe #congress #todonahijodo #GujaratElections2022 #HimachalPradesh  #Gujarat  vote for congress save Gujarat and Himachal Pradesh from bjp https://t.co/wWpAMccmIj,vote congress save gujarat himachal pradesh bjp,positive,
tweets_DhivCM,"And we smile, hold hands and keep on walking ♥️ #BharatJodoYatra (n/n)",smile hold hand keep walk nn,positive,
tweets_DhivCM,"Organisers at the campsite sometimes run short of things but they never run short of patience &amp; kindness. Yatris, on the other hand, have toned down their demands and there’s an overall sense of appreciation and gratitude. (4/n) #BharatJodoYatra",organiser campsite sometimes run short thing never run short patience kindness yatris hand tone demand overall sense appreciation gratitude 4n,positive,
